Title,Status,Summary,Notice Type,Approval Number,Executing Agency,Contractor Name,Address,Total Contract Amount (US$),Contract Amount Financed by ADB (US$)
Cluster Development Specialist,Status: Active Deadline: 07 Nov 2021,51269-001; Bangladesh; Finance; Posting date: 01 Nov 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
VET Funding Specialist,Status: Active Deadline: 07 Nov 2021,52339-001; Georgia; Education; Posting date: 01 Nov 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Gender and Social Inclusion Specialist,Status: Active Deadline: 07 Nov 2021,52339-001; Georgia; Education; Posting date: 01 Nov 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Emergency Response and Strategic Intervention Expert – Health,Status: Active Deadline: 06 Nov 2021,54182-001; India; Public sector management; Posting date: 31 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
49329-BAN: Second City Region Development Project [CRDP-II/LGED/DHAKA/SAVAR/NCB/2021/W-06],Status: Active Deadline: 25 Nov 2021,49329-006; Bangladesh; Water and other urban infrastructure and services; Posting date: 20 Oct 2021,Invitation for Bids,Null,Null,Null,Null,Null,Null
Finance (Banking) Expert,Status: Active Deadline: 02 Nov 2021,54011-001; Palau; Energy; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Project Management Expert,Status: Active Deadline: 02 Nov 2021,54011-001; Palau; Energy; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Project Finance Expert,Status: Active Deadline: 02 Nov 2021,54011-001; Palau; Energy; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Energy (Low Carbon Technology) Expert,Status: Active Deadline: 02 Nov 2021,54011-001; Palau; Energy; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
"Social, Gender and Environmental Expert",Status: Active Deadline: 02 Nov 2021,54011-001; Palau; Energy; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Economic Expert,Status: Active Deadline: 02 Nov 2021,54011-001; Palau; Energy; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Procurement Expert,Status: Active Deadline: 02 Nov 2021,54011-001; Palau; Energy; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
TA-6597 REG: International Social Safeguards Specialist - Support,Status: Closed Deadline: 26 Oct 2021,"54071-001; Regional, Cook Islands, Fiji, Micronesia, Federated States of, Kiribati, Nauru, Niue, Palau, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu; Water and other urban infrastructure and services; Posting date: 20 Oct 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Water and Sanitation Database,Status: Closed Deadline: 26 Oct 2021,53266-001; Regional; Water and other urban infrastructure and services; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
PHI: ICT Project - Information and Communication Technology Specialist/Team Leader,Status: Closed Deadline: 26 Oct 2021,49407-005; Regional; Multisector; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Independent Monitoring,Status: Closed Deadline: 26 Oct 2021,43319-043; Viet Nam; Transport; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Water and Sanitation Information Technology,Status: Closed Deadline: 26 Oct 2021,53266-001; Regional; Water and other urban infrastructure and services; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Water and Sanitation Knowledge Product Development (Creative Content,Status: Closed Deadline: 26 Oct 2021,53266-001; Regional; Water and other urban infrastructure and services; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
National Property Tax Specialist,Status: Closed Deadline: 26 Oct 2021,"54076-001; Regional, Cambodia, Nepal; Public sector management; Posting date: 20 Oct 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Water and Sanitation Project & Events Coordination,Status: Closed Deadline: 26 Oct 2021,53266-001; Regional; Water and other urban infrastructure and services; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
National Procurement Specialist,Status: Active Deadline: 02 Nov 2021,52145-001; Cambodia; Public sector management; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Public Private Partnership (PPP) Specialist,Status: Closed Deadline: 29 Oct 2021,52339-001; Georgia; Education; Posting date: 20 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
RMI: Social Development Specialist (National),Status: Active Deadline: 05 Nov 2021,"53371-001; Regional, Cook Islands, Fiji, Micronesia, Federated States of, Kiribati, Nauru, Niue, Palau, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu; Public sector management; Posting date: 20 Oct 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Consulting Service (Firm) Construction Management,Status: Active Deadline: 17 Nov 2021,38354-013; Indonesia; Public sector management; Posting date: 19 Oct 2021,Firm - Consulting,Null,Null,Null,Null,Null,Null
Pilot at least 01 advanced technology to recycle wastes into environment-friendly products in 01 city,Status: Active Deadline: 17 Nov 2021,47274-003; Viet Nam; Water and other urban infrastructure and services; Posting date: 19 Oct 2021,Firm - Consulting,Null,Null,Null,Null,Null,Null
2750/2751-VIE: University of Science and Technology of Hanoi Development (New Model University) Project (UIU-USTH GDS011),Deadline: 30 Nov 2021,42079-013; Viet Nam; Education; Posting date: 19 Oct 2021,Invitation for Bids,2750,Null,Null,Null,Null,Null
LAO: National Cold Chain Equipment and Logistics Officer COVID-19 Vaccine Deployment,Status: Closed Deadline: 25 Oct 2021,54079-001; Regional; Health; Posting date: 19 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
LAO: Planning and Coordination Officer 4 – COVID 19 Vaccine Deployment (Vientiane-Based),Status: Closed Deadline: 25 Oct 2021,54079-001; Regional; Health; Posting date: 19 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
National Climate Change Specialist,Status: Closed Deadline: 25 Oct 2021,"55218-002; Mongolia; Agriculture, natural resources and rural development; Posting date: 19 Oct 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
National Value Chain Investment Specialist,Status: Closed Deadline: 25 Oct 2021,"55218-002; Mongolia; Agriculture, natural resources and rural development; Posting date: 19 Oct 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Gender Expert (Gender Equality and Social Inclusion),Status: Closed Deadline: 25 Oct 2021,49106-005; India; Transport; Posting date: 19 Oct 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
National Business Advisor,Status: Closed Deadline: 25 Oct 2021,"55218-002; Mongolia; Agriculture, natural resources and rural development; Posting date: 19 Oct 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Information Technology Expert,Status: Closed Deadline: 25 Oct 2021,"54260-001; Regional, Cook Islands, Samoa, Solomon Islands; Public sector management; Posting date: 19 Oct 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Economics and Statistics Specialist (Coordinating Specialist),Status: Closed Deadline: 25 Oct 2021,"53344-002; Regional, Afghanistan, Bangladesh; Public sector management; Posting date: 19 Oct 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
