S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref,Organisation Chain
1.,18-Aug-2023 05:30 PM,24-Aug-2023 09:00 AM,25-Aug-2023 09:15 AM,"[Improvement and development of road by providing CC in Patches in Ward No. 36, Nilothi, Ward No. 36, M-II,NZ] [MCD/TR/5153/2023_5_1_1/1][2023_MCD_164916_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
2.,18-Aug-2023 05:30 PM,24-Aug-2023 09:00 AM,25-Aug-2023 09:15 AM,"[Supplying and stacking of material for day to day maintenance work at JE store Ward No. 36, Nilothi, M-II, NZ ] [MCD/TR/5152/2023_5_1_1/1][2023_MCD_164926_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
3.,27-Jul-2023 06:00 PM,24-Aug-2023 10:00 AM,25-Aug-2023 11:00 AM,[UPGRADATION OF LOW WEIGHT AIRBORNE DATA ACQUISITION SYSTEM (LWADAS)] [NAL/PUR/STTD/076/23][2023_CSIR_162553_1],Council of Scientific and Industrial Research||NAL Bengaluru - CSIR||Purchase-NAL - CSIR
4.,09-Aug-2023 06:00 PM,24-Aug-2023 10:00 AM,25-Aug-2023 11:00 AM,"[Supply and Installation of Spare parts for MCR 102 Modular Compact Rheometer, etc. ] [NAL/PUR/CCF/110/23][2023_CSIR_163955_1]",Council of Scientific and Industrial Research||NAL Bengaluru - CSIR||Purchase-NAL - CSIR
5.,09-Aug-2023 11:00 AM,24-Aug-2023 10:00 AM,29-Aug-2023 10:00 AM,"[Repairs to damaged RCC structure and MS stair of Over Head Tank at New Jheel Road Estate at Gun and Shell Factory, Cossipore, Kolkata-700002.] [GSF/RD2207/EO(C)/NJRE TANK][2023_AWEIL_163607_1]",ADVANCED WEAPONS AND EQUIPMENT INDIA LTD-AWEIL||GUN AND SHELL FACTORY - COSSIPORE
6.,16-Aug-2023 05:00 PM,24-Aug-2023 10:00 AM,25-Aug-2023 10:30 AM,"[Repair and Maintenance of Water supply and sanitation pipe line of inside plant at DSTPS, DVC, Andal.] [DVC/Tender/HQ/PH CIVIL-1/CMM/WS/Rev_1][2023_DVC_164588_1]",Damodar Valley Corporation||DSTPS Andal - DVC||C and M
7.,13-Jul-2023 05:00 PM,24-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[DVC/WP/CTPS/CIVILPH/U78/00149] [DVC/WP/CTPS/CIVILPH/U78/00149][2023_DVC_160927_1],Damodar Valley Corporation||CTPS Chandrapura - DVC||C and M
8.,08-Aug-2023 06:00 PM,24-Aug-2023 10:00 AM,25-Aug-2023 11:00 AM,[Calibration of IFR 6000] [NAL/PUR/ALD/100/23][2023_CSIR_163821_1],Council of Scientific and Industrial Research||NAL Bengaluru - CSIR||Purchase-NAL - CSIR
9.,05-Aug-2023 03:00 PM,24-Aug-2023 10:00 AM,25-Aug-2023 02:30 PM,"[OFC Construction work PGT] [KRLCO-23/11(19)/2/2023-MM /PGT/ Dated at TVM, the][2023_BSNL_163517_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Kerala Telecom Circle
10.,18-Aug-2023 06:55 PM,24-Aug-2023 10:00 AM,25-Aug-2023 11:30 AM,[NIT No 22/EEE/KBZ/MCD/2023-24 Item No.01] [MCD/TR/5741/2023_6_1_1/1][2023_MCD_164998_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
11.,09-Aug-2023 11:00 AM,24-Aug-2023 10:00 AM,29-Aug-2023 10:00 AM,"[Repairs to damaged RCC structure and MS stair of Over Head Tank at New Jheel Road Estate at Gun and Shell Factory, Cossipore, Kolkata-700002.] [GSF/RD2207/EO(C)/NJRE TANK][2023_AWEIL_163607_1]",ADVANCED WEAPONS AND EQUIPMENT INDIA LTD-AWEIL||GUN AND SHELL FACTORY - COSSIPORE
12.,19-Aug-2023 10:00 AM,24-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[Manning and Operation of Electrical Switch Gear round the clock in 3 shifts to keep the system in good working condition at Cruise Terminal VPA for a period of One year] [27/IMEE/ELE/AMC/354Dt.18.8.23][2023_VPT_164978_1],Visakhapatnam Port Trust||Mech. and Elec. Engineering - VPT||Electrical and Electronics - VPT
13.,18-Aug-2023 06:55 PM,24-Aug-2023 10:00 AM,25-Aug-2023 11:30 AM,[NIT No 22/EEE/KBZ/MCD/2023-24 Item No.01] [MCD/TR/5741/2023_6_1_1/1][2023_MCD_164998_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD
14.,13-Jul-2023 05:00 PM,24-Aug-2023 10:00 AM,25-Aug-2023 10:00 AM,[DVC/WP/CTPS/CIVILPH/U78/00149] [DVC/WP/CTPS/CIVILPH/U78/00149][2023_DVC_160927_1],Damodar Valley Corporation||CTPS Chandrapura - DVC||C and M
15.,12-Aug-2023 12:55 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/35][2023_CSIR_164399_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR
16.,12-Aug-2023 12:30 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/31][2023_CSIR_164390_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR
17.,21-Dec-2022 06:55 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Construction of new 4lane Prayagraj Southern Greenfield Bypass from km. 50.860 (Nababa urf Nibi Kala Uparhar) to km. 64.763 on NH19 (near Khodaypur Kasgaon) including Interchange loop at NH19 (design length 14.980 km) Pkg3 PhI in UP on EPC under BMP] [NHAI/UPEast/PrayagrajSouthern Bypass/PhI/Pkg3/2022][2022_NHAI_139094_1],National Highways Authority of India||Head Office - NHAI
18.,12-Aug-2023 12:20 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/30][2023_CSIR_164388_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR
19.,12-Aug-2023 03:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/42][2023_CSIR_164404_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR
20.,12-Aug-2023 12:15 PM,24-Aug-2023 11:00 AM,25-Aug-2023 12:30 PM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/29][2023_CSIR_164385_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR
21.,10-Aug-2023 06:55 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through for Sabli in Shahjahanpur Distt. Fee Plaza in the state of Uttar Pradesh] [NHAI/13013/547/CO/23-24/ CB/Sabli FP][2023_NHAI_164178_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
22.,11-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through e-tender at Kharbi FP for upgradation 2 lane with paved shoulder from km 97.487 to km 137.250 of Nagbhid-Armori Section (Package-III) of NH-353D in Maharashtra.] [NHAI/13013/547 /CO/23-24/ CB/ Kharbi ][2023_NHAI_164318_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
23.,19-Aug-2023 09:00 AM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency for Morwala fee plaza at km 32.640 from Km.130.770 to Km. 228.630 in the State of Haryana and upkeep/maintenance of adjacent Toilet blocks including recouping the consumable items.] [NHAI/13013/547/CO/23-24/EQ/ Morwala][2023_NHAI_165007_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
24.,19-Aug-2023 09:00 AM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency for Paind FP at km 227.500 Sangrur to Dogal Kalan and to Punjab Haryana Border from km 181.805 to km 238.819 of NH7(New NH52) in the State of Punjab] [NHAI/13013/547/CO/23-24/ EQ/Paind FP][2023_NHAI_165005_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
25.,19-Aug-2023 09:00 AM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency for Kala Tibba FP at km.45.660 for the section of Dabwali Situgunno Abohar Section in the State of Punjab] [NHAI/13013/547/CO/23-24/ EQ/Kala Tibba FP][2023_NHAI_165004_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
26.,11-Aug-2023 06:55 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender at Khawasa Fee Plaza at Km. 651.750 of NH7 (new NH44) for the use of 4lane of Mohgaon to Khawasa Madhya Pradesh Maharastra Border Section from 624.480 to 653.770 of NH7 in Ma] [NHAI/13013/547/CO/23-24/CB/ Khawasa ][2023_NHAI_164337_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
27.,11-Aug-2023 06:55 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through e-tender for Joharia Shaikh FP at km 165.350 at NH 86 Ext (New NH 146) on Bhopal-Sagar-Sanchi Section from km 81 to km 175 in Madhya Pradesh ] [NHAI/13013/547/CO/23 -24/CB/ Joharia Shaikh FP][2023_NHAI_164349_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
28.,14-Aug-2023 12:30 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/12/A][2023_CSIR_164438_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR
29.,11-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee agency through e-quotation at Lamber and Ujroo FP located at Design Km 193.760 and 204.563 of NH-1A(New NH 44) for the use of Quazigund to Banihal Section from design km189.350 to km 205.618 of nh 1A in Jammu and Kashmir] [NHAI/13013/547/CO/23- 24/CB/Lamber and Ujroo FP][2023_NHAI_164321_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
30.,19-Jul-2023 06:05 PM,24-Aug-2023 11:00 AM,25-Aug-2023 12:30 PM,[Construction of Light Vehicular underpasses at Birabalabhadrapur at km. 51.500 on Bhubaneswar Puri in the state of Odisha on EPC Mode] [NHAI/13012/108/RO/OD/2055/2023][2023_NHAI_161673_1],National Highways Authority of India||RO-Bhubaneswar - NHAI
31.,11-Aug-2023 09:00 AM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender for Tamdoli FP at Km 93.500 of Nimbijodha Degna Merta City section in the State of Rajasthan] [NHAI/13013/547/CO/23-24/ CB/Tamdoli FP][2023_NHAI_164188_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
32.,11-Aug-2023 09:00 AM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender at Keezhkuppam fee plaza at km 97.500 for the section from Manavalanullur to Chinnasalem of NH 532 in the State of Tamil Nadu] [NHAI/13013/547/CO/23-24/CB/ Keezhkuppam][2023_NHAI_164180_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
33.,10-Aug-2023 06:55 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through for Sabli in Shahjahanpur Distt. Fee Plaza in the state of Uttar Pradesh] [NHAI/13013/547/CO/23-24/ CB/Sabli FP][2023_NHAI_164178_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
34.,10-Aug-2023 06:55 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through for Balgudar FP at KM 23.500 in the section Mokama Munger on NH-80 in the State of Bihar] [NHAI/13013/547/CO/23-24/ CB/Balgudar FP][2023_NHAI_164170_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
35.,14-Aug-2023 12:30 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/12/A][2023_CSIR_164438_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR
36.,10-Aug-2023 06:55 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender for Manoharpura FP at Km 211.00 on NH08 Gurgaon Kotputli Jaipur section of NH8 from Km 42.700 to Km 273.000 in the State of Haryana] [NHAI/13013/547/CO/23-24/ CB/Manoharpura FP][2023_NHAI_164168_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
37.,12-Aug-2023 12:20 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Rate Contract for 2023-24] [IGIB/RC/2023-24/CR/30][2023_CSIR_164388_1],Council of Scientific and Industrial Research||IGIB-Delhi - CSIR||Purchase-IGIB - CSIR
38.,10-Aug-2023 06:15 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender for Daulatpura fee plaza at Km 106.915 National Highway 552 Extn in the State of Rajasthan] [NHAI/13013/547/ CO/23-24/ CB/ Daulatpura FP][2023_NHAI_164163_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
39.,10-Aug-2023 06:10 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through e-tender for Dularpur FP for two lane with paved shoulder road under EPC mode on Bahraich-Shrawasti Section (km 248.400 to km 310.000) on NH-730 in Uttar Pradesh ] [NHAI/13013/547/CO /23-24/CB/ Dularpur FP][2023_NHAI_164164_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
40.,10-Aug-2023 06:00 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee agency through CB at Rangalibazna FP at km 167.365 on Mainaguri Changrabandha and Jargaon Hasimara Dhupguri Section from km 0.000 to km 20.400 and km 36.100 to 106.115 of Asian Highway 48 Corridor in West Bengal ] [NHAI/13013/547/CO/23 -24/CB/Rangalibazna FP][2023_NHAI_164153_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
41.,05-Aug-2023 09:00 AM,24-Aug-2023 11:00 AM,25-Aug-2023 11:00 AM,[Vehicle Tender PIU Mangalore] [NIT No.1/NHAI/PIU-MNG/Hiring of vehicle/Tender /20][2023_NHAI_163483_1],National Highways Authority of India||RO-Bangalore - NHAI||Mangalore - NHAI
42.,10-Aug-2023 06:15 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender for Daulatpura fee plaza at Km 106.915 National Highway 552 Extn in the State of Rajasthan] [NHAI/13013/547/ CO/23-24/ CB/ Daulatpura FP][2023_NHAI_164163_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
43.,10-Aug-2023 06:10 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through e-tender for Dularpur FP for two lane with paved shoulder road under EPC mode on Bahraich-Shrawasti Section (km 248.400 to km 310.000) on NH-730 in Uttar Pradesh ] [NHAI/13013/547/CO /23-24/CB/ Dularpur FP][2023_NHAI_164164_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
44.,21-Dec-2022 06:30 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Construction of new 4 lane Prayagraj Southern Greenfield Bypass from design km.43.200 (near Mahuari) to design km.50.860 (near Nababa urf Nibi Kala Uparhar) (design length 7.660 km) PKG-2 under Ph-I on NH19 in UP under Bharatmala on EPC mode.] [NHAI/UPEast/PrayagrajSouthern Bypass/Pkg2/NH19/202][2022_NHAI_139085_1],National Highways Authority of India||Head Office - NHAI
45.,21-Dec-2022 06:55 PM,24-Aug-2023 11:00 AM,25-Aug-2023 11:30 AM,[Construction of new 4lane Prayagraj Southern Greenfield Bypass from km. 50.860 (Nababa urf Nibi Kala Uparhar) to km. 64.763 on NH19 (near Khodaypur Kasgaon) including Interchange loop at NH19 (design length 14.980 km) Pkg3 PhI in UP on EPC under BMP] [NHAI/UPEast/PrayagrajSouthern Bypass/PhI/Pkg3/2022][2022_NHAI_139094_1],National Highways Authority of India||Head Office - NHAI
