,title,industry,region
0,Procurement of 2900-2340E1000517/02 Medical Equitment(1),Medical equipment & medicine,山东省
1,Procurement of 2900-2340E1000517/01 Medical Equitment(1),Medical equipment & medicine,山东省
2,"Procurement of 2465-234010100003 ICB OF FLUIDIZED BED DRYER IN PHASE II CHLOR ALKALI INTEGRATION UNIT PROJECT 400K T/A PVC PLANT FOR TIANJIN BOHua Chemical Development Co., Ltd(2)","Petroleum, chemicals",天津市
3,Procurement of 3437-224QDCHY2218/02 Mechanical processing equipment tendering projects(2),Machining,山东省
4,Procurement of 3437-224QDCHY2218/03 Mechanical processing equipment tendering projects(2),Machining,山东省
5,Procurement of 3437-224QDCHY2218/01 Mechanical processing equipment tendering projects(2),Machining,山东省
6,Procurement of 4859-234ZZHN23001 Procurement of laboratory instruments and equipment for CRO project of seed industry professional R&D outsourcing service (second batch)(1),Apparatus and Meter,海南省
7,Procurement of 4197-214BOECQ0001/286 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Apparatus and Meter,重庆市
8,Procurement of 4197-214BOECQ0001/285 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Apparatus and Meter,重庆市
9,Procurement of 4197-214BOECQ0001/284 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Apparatus and Meter;其他设备,重庆市
10,Procurement of 4197-214BOECQ0001/283 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Electronic & communications,重庆市
11,Procurement of 4197-214BOECQ0001/282 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Apparatus and Meter,重庆市
12,Procurement of 4197-214BOECQ0001/281 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Apparatus and Meter;其他设备,重庆市
13,Procurement of 4197-214BOECQ0001/280 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Others,重庆市
14,Procurement of 4197-214BOECQ0001/279 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(2),Apparatus and Meter;其他设备,重庆市
15,Procurement of 0768-2340CSIMC003/02 China Biological Northwest (Lanzhou) Biomedical Industrial Park Medical Beauty Industrialization Base Project(1),"Publishing & printing, packagi",甘肃省
16,"Procurement of 4197-2140SHJT0001/351 Construction Project of Special Process Production Line of GTA Semiconductor Co.,Ltd(2)",Machining,上海市
17,"Procurement of 4197-2140SHJT0001/194 Construction Project of Special Process Production Line of GTA Semiconductor Co.,Ltd(2)",Others ;电子通信,上海市
18,"Procurement of 4197-2140SHJT0001/178 Construction Project of Special Process Production Line of GTA Semiconductor Co.,Ltd(2)",Machining,上海市
19,"Procurement of 4197-2140SHJT0001/176 Construction Project of Special Process Production Line of GTA Semiconductor Co.,Ltd(2)",Others ;电子通信,上海市
20,"Procurement of 4197-2340SHJT0002/01 Construction Project of Special Process Production Line of GTA Semiconductor Co., Ltd(2)","Publishing & printing, packagi",上海市
21,Procurement of 0801-234ZJ2330169 CT Color Doppler Scanning Machine(1),Medical equipment & medicine,浙江省
22,Procurement of 4400-224TJDTM8004 Procurement Project of Electric Traction System for Electric Train of Tianjin Metro Line 8 Phase I Project (Section from Lvshui Park to Zhongbei Town)(2),"Transport, storage service",天津市
23,Procurement of 0618-224TC229J0WK Measuring instrument calibration equipment(1),Apparatus and Meter,江苏省
24,Procurement of 0612-2340F3230164 Procurement project of small animal living imaging system in laboratory animal center(1),Apparatus and Meter,广东省
25,Procurement of 0720-2240zbzx0271 PetroChina Jilin Petrochemical Company AQ Catalyst(2),Others,吉林省
26,Procurement of 0664-2240SUMECA88/21 Spiral freezing machine(1),Foods processing,山东省
27,Procurement of 3098-224GZ0000274/03 Cantonese Media Commercial printing equipment International tender procurement(1),"Publishing & printing, packagi",广东省
28,Procurement of 3098-224GZ0000274/02 Cantonese Media Commercial printing equipment International tender procurement(1),"Publishing & printing, packagi",广东省
29,Procurement of 0747-2340SCCZX308 International Competitive Bidding Procurement of Tower Internals for Sinochem Energy and Sinochem Quanzhou 260 KMTA Acrylonitrile Plant(1),Others,福建省
30,"Procurement of 5072-234023020302 Nanjing highway group required winter snow vehicles and their mechanical and electrical equipment procurement (section 2: dry spreader, high-speed rolling brush car)(1)","Transport, storage service",江苏省
31,Procurement of 3098-224GZ0000274/01 Cantonese Media Commercial printing equipment International tender procurement(Package number 1 re-recruit)(2),"Publishing & printing, packagi",广东省
32,"Procurement of 5072-234023020301 Nanjing highway group required winter snow vehicles and their mechanical and electrical equipment procurement (section 1: Full-intelligent spreader, full-intelligent spreader)(1)","Transport, storage service",江苏省
33,Procurement of 0736-234020230024 C206 Project-New Brake Pedal Force Testing Equipment(2),Apparatus and Meter,吉林省
34,Procurement of 0736-234020230023 E001 Project-New Brake Pedal Force Testing Equipment(2),Apparatus and Meter,吉林省
35,Procurement of 0744-224CEZB10548/01 Chain(1),Others,内蒙古自治区
36,Procurement of 0744-224CEZB10548/03 Chain(1),Others,内蒙古自治区
37,Procurement of 0744-224CEZB10548/02 Chain(1),Others,内蒙古自治区
38,Procurement of 0768-2340CSIMC003/03 China Biological Northwest (Lanzhou) Biomedical Industrial Park Medical Beauty Industrialization Base Project(1),Apparatus and Meter,甘肃省
39,Procurement of 0768-2340CSIMC004 Aseptic nozzle purchase project(1),Medical equipment & medicine,吉林省
40,Procurement of 0664-2240SUMECA88/14 Fluidized quick-freezing machine(1),Foods processing,山东省
41,Procurement of 0664-2240SUMECA88/13 Vegetable cutting equipment(2),Machining,山东省
42,Procurement of 0664-2240SUMECA88/17 Bean products equipment(1),Others,山东省
43,"Procurement of 0664-2240SUMECA88/10 Round steamed bread, steamed bun production line(1)",Others,山东省
44,Procurement of 0664-2240SUMECK03 Microfor CNC EDM Machine(2),Machining,湖南省
45,Procurement of 0664-2240SUMECA88/12 Pastry Danish production line(2),Others,山东省
46,"Procurement of 0664-2240SUMECA88/22 Japanese dumplings, wonton, Chinese dumplings, roasted wheat processing line(1)",Foods processing,山东省
47,Procurement of 0664-2240SUMECA88/09 Industrial laundry equipment(1),Electronic & communications,山东省
48,Procurement of 0664-2240SUMECR88/02 DR etc(1),Medical equipment & medicine,江苏省
49,Procurement of 0664-2240SUMECR32/15 Ellipsometer(2),Apparatus and Meter,广东省
50,Procurement of 0664-2240SUMECR32/18 Overlay tester(2),Apparatus and Meter,广东省
