S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Details,Locations,Sector,Subsector
1.0,17-Aug-2023 12:30 PM,09-Sep-2023 06:00 PM,11-Sep-2023 12:00 PM,[Optical Fiber Cable Laying and Construction work in BSNL Dhanbad OA] [GMBA/DNB/OFC Laying/DNB OA/2023-24/06] [2023_BSNL_164705_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jharkhand Telecom Circle||GMTD, Dhanbad",,Optical,BSNL Dhanbad OA
2.0,31-Aug-2023 01:00 PM,09-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,"[Providing GS sheet roof structure over the terrace of B49-B64 staff quarters at CSIR-CFTRI, Mysuru] [E/CW/007/1027/2023-24] [2023_CSIR_166223_1]",Council of Scientific and Industrial Research||CFTRI-Mysore - CSIR||ESD-CFTRI - CSIR,,,"CSIR - CFTRI , Mysuru"
3.0,18-Aug-2023 06:00 PM,09-Sep-2023 06:00 PM,11-Sep-2023 11:00 AM,"[GRADING, LEVELING IN EXTENDED OPERATIONAL AREA NEAR RUNWAY 25 BEGINNING and COVERING OF EXISTING OPEN DRAIN BY MS GRILL/JALI IN OPERATIONAL AREA AT D.A.B.H. AIRPORT, INDORE.] [AAI/INDORE/CIVIL/2023-24/03] [2023_AAI_164844_1]",Airports Authority of India||Western Region - AAI||INDORE - AAI||ENGG CIVIL-VAID - AAI,['INDIA'],,"D.A.B.H. AIRPORT , INDORE ."
4.0,02-Sep-2023 05:45 PM,09-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,[Supply of Multi Gas Detector and Hydrogen Monitor] [JPL-CnM-LT-2023-1100011693] [2023_JPL_166508_1],Jhabua Power Ltd,,,Multi Gas Detector and Hydrogen Monitor
5.0,30-Aug-2023 02:00 PM,09-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,[Internal painting Civil repairs in Quarter No59 Lichubagan] [06/2023-24/BSNL/CD/AGT] [2023_BSNL_165993_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||North East-I||O/o CGMT, NE-I Circle, Shillong",,Lichubagan,Quarter No59
6.0,19-Aug-2023 09:00 AM,09-Sep-2023 06:00 PM,11-Sep-2023 03:00 PM,"[HIRING OF SERVICES FOR INSTRUMENTATION MAINTENANCE JOBS FOR PRE-COMMISSIONING AND COMMISSIONING ACTIVITIES AT M/S GMPL, MSEZ, MANGALURU] [GAIL/GMPL/20114408/RSG] [2023_GAIL_164970_1]",GAIL (India) Limited||GAIL India Limited- Pata,['INDIA'],MANGALURU,"M / S GMPL , MSEZ ,"
7.0,01-Sep-2023 01:00 PM,09-Sep-2023 06:00 PM,12-Sep-2023 03:30 PM,[18/NIT/BSNL/CD/HBL/2023-24] [18/NIT/BSNL/CD/HBL/2023-24] [2023_BSNL_166338_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Karnataka Telecom Circle||CE (Civil) Bengaluru,,NIT,
8.0,19-Aug-2023 12:15 PM,09-Sep-2023 06:00 PM,11-Sep-2023 09:00 AM,[Repairs to Road Shoulders and Approach Paths in Type-V area in OFMK.] [76025/TE-33/OFMK/EOC/RSP/23-24] [2023_AVNL_164613_1],Armoured Vehicles Nigam Limited||Ordnance Factory Medak-Yeddumailaram,,OFMK,
9.0,18-Aug-2023 06:30 PM,09-Sep-2023 06:00 PM,12-Sep-2023 11:00 AM,[Annual repairs and maintenance contract for civil works inside Ops. Area and NTB for the year 2023-24 at Dimapur Airport.] [AAI/Dmp/AGM(E-C)/AMC(Ops/23-24] [2023_AAI_164911_1],Airports Authority of India||North East Region - AAI||DIMAPUR - AAI||ENGG CIVIL-VEMR- AAI,['INDIA'],NTB,Dimapur Airport .
10.0,01-Sep-2023 06:00 PM,09-Sep-2023 06:00 PM,11-Sep-2023 10:00 AM,[PUR/IMP/018/23] [PUR/IMP/018/23] [2023_CSIR_166345_1],Council of Scientific and Industrial Research||NIIST-Thiruvanthapuram - CSIR||Purchase-NIIST - CSIR,,,
