,title,reference_no,tender_id
0,"[EOI Document for Selection of Back End Partner for Implementation of Supply, Installation of Computer Systems, Printers, UPS and Networking and Electrification etc. in 412 Government Schools with 5 Years On-Site Comprehensive Warranty]","EOI Document for Selection of Back End Partner for Implementation of Supply, Installation of Computer Systems, Printers, UPS and Networking and Electrification etc. in 412 Government Schools with 5 Years On-Site Comprehensive Warranty] [TCIL/78/IT1/22-23/RCSE-ICTLabs",2023_TCIL_144059_1
1,[SITC of 10 KLD packaged type Sewage Treatment Plant of SBR Technology including 7 years Operation and 5 years AICMC after 2 years DLP at Tezpur Airport],SITC of 10 KLD packaged type Sewage Treatment Plant of SBR Technology including 7 years Operation and 5 years AICMC after 2 years DLP at Tezpur Airport] [SITC of 10KLD packaged type Sewage Treatment Plant,2023_AAI_144043_1
2,[ DDH/SH/S/ITEM NO.2 NIT NO.2], DDH/SH/S/ITEM NO.2 NIT NO.2] [DDH/SH/S/TC/2022-23/2.1 ,2023_EDMC_144144_2
3,[DDH/SH/S/ITEM NO.1 NIT NO.1],DDH/SH/S/ITEM NO.1 NIT NO.1] [DDH/SH/S/TC/2022-23/2.1 ,2023_EDMC_144144_1
4,[ DDH/SH/S/ITEM NO.2 NIT NO.2], DDH/SH/S/ITEM NO.2 NIT NO.2] [DDH/SH/S/TC/2022-23/2.1 ,2023_EDMC_144144_3
5,"[Supply, installation and commissioning of Liquid Chromatograph Mass Spectrometer]","Supply, installation and commissioning of Liquid Chromatograph Mass Spectrometer] [28(11)/2022/Pur/T-169",2023_CSIR_144077_1
6,"[Turnkey work for setting up of AMRIT Pharmacy at Rajendra Institute of Medical Science (RIMS), Ranchi, Jharkhand]","Turnkey work for setting up of AMRIT Pharmacy at Rajendra Institute of Medical Science (RIMS), Ranchi, Jharkhand] [HLL/CHO/PROJ/RBD/AMRIT/RIMS/RA ",2023_HLL_144171_1
7,[REPAIR OF NORTEL 2G BTS BSC CARDS in BSNL Telangana Circle],REPAIR OF NORTEL 2G BTS BSC CARDS in BSNL Telangana Circle] [TT/CM/OP/Repair of Nortel Cards/Tender/2022-23 /10,2023_BSNL_144159_1
8,"[Supply, installation and commissioning of Near Infrared Spectroscopy]","Supply, installation and commissioning of Near Infrared Spectroscopy] [28(10)/2022/ Pur/T-172",2023_CSIR_144167_1
9,[DE OFC/CNTXW ANR/PW06/2022-23 Dt 4.2.23],DE OFC/CNTXW ANR/PW06/2022-23 Dt 4.2.23] [DE OFC/CNTXW ANR/PW06/2022-23 Dt 4.2.23,2023_BSNL_144158_1
10,[PUR/IICT/DMS/789/RE-1/22-23],PUR/IICT/DMS/789/RE-1/22-23] [PUR/IICT/DMS/789/RE-1/22-23,2023_CSIR_144145_1
11,[Contract for Structure Strengthening and Life Enhancement of NDCT-II at IGSTPP Jharli],Contract for Structure Strengthening and Life Enhancement of NDCT-II at IGSTPP Jharli] [CRN-3894,2023_APCPL_144049_1
12,[Tech Bid work of Rep Faulty Lift Contr ARD of 1No 20P Johnson Lift AMC 3Years BG East TE BSNL BGL],Tech Bid work of Rep Faulty Lift Contr ARD of 1No 20P Johnson Lift AMC 3Years BG East TE BSNL BGL] [27/EEE/ED-I/BSNL/BGL/2022-23,2023_BSNL_144170_1
13,[EPCM PROJECTS],EPCM PROJECTS] [GAIL/PATA/CNP/20108739/PSN ,2023_GAIL_140308_1
14,[DE OFC/CNTXW ANR/PW05/2022-23 Dt 4.2.23],DE OFC/CNTXW ANR/PW05/2022-23 Dt 4.2.23] [DE OFC/CNTXW ANR/PW05/2022-23 Dt 4.2.23,2023_BSNL_144155_1
