Tender Title,Reference No,Closing Date,Bid Opening Date
1. Nuclear Island Mega EPC Package (NIMEP),Tender No CMM/FTP/09-30-1-1255,28-Jul-2023 11:00 AM,09-Aug-2023 11:00 AM
2. GEOTECHNICAL SURVEY,RITES/UI/RCED/GT/DAHOD-INDORE/ DRILLING,15-May-2023 03:00 PM,16-May-2023 03:00 PM
3. Tender Maintenance and Operation of Mobile BTS Sites Rural Exchanges and Maintenance and provisioning of Landline and Broadband for External plant of Copper Network in a Cluster in Leh Dist of Leh BA,r3btsclusterleh,23-May-2023 03:00 PM,24-May-2023 03:00 PM
4. Procurement of IFM make flow and temp sensors along with connecting cables,100000760,09-May-2023 06:00 PM,10-May-2023 04:15 PM
5. Auto Lubrication system spares for stacker and reclaimer,100000829,16-May-2023 03:00 PM,17-May-2023 03:00 PM
6. Procurement of Spares for Emerson Make Analyzer,100000738,09-May-2023 06:00 PM,10-May-2023 04:15 PM
7. Comprehensive Architectural and Engineering Consultancy Services for Development of STPI Infrastructure at Bareilly Uttar Pradesh,UPZ/361/STPI/BAR/23-24/146,16-May-2023 03:00 PM,17-May-2023 03:00 PM
8. Consultancy Services for Authority Engineer of Operation and Maintenance of Pollachi to Coimbatore Section of NH-83 (Km.123.550 to Km.150.400 of Old NH 209) in the State of Tamil Nadu,NHAI/ROC/AE/OM/2023-24/118,06-Jun-2023 05:00 PM,07-Jun-2023 05:30 PM
9. Engagement of user fee collection agency on the basis of CB through etender on Kot Karor Kalan fee plaza in the state of Punjab,NHAI/13013/547/CO/23-24/CB/ Kot Karor Kalan,15-May-2023 11:00 AM,16-May-2023 11:30 AM
10. NIT_01/CNP/TGBPS/2023-24 dated 01.05.2023,NIT_01/CNP/TGBPS/2023-24 dated 01.05.2023,22-May-2023 04:00 PM,23-May-2023 04:00 PM
