,0
2014-01-13,2.27
2014-01-14,2.26
2014-01-15,2.28
2014-01-16,2.25
2014-01-17,2.26
2014-01-20,
2014-01-21,2.26
2014-01-22,2.25
2014-01-23,2.13
2014-01-24,2.14
2014-01-27,2.14
2014-01-28,2.15
2014-01-29,2.14
2014-01-30,2.15
2014-01-31,2.14
2014-02-03,2.14
2014-02-04,2.13
2014-02-05,2.14
2014-02-06,2.16
2014-02-07,2.18
2014-02-10,2.19
2014-02-11,2.19
2014-02-12,2.21
2014-02-13,2.17
2014-02-14,2.16
2014-02-17,
2014-02-18,2.14
2014-02-19,2.13
2014-02-20,2.13
2014-02-21,2.12
2014-02-24,2.16
2014-02-25,2.15
2014-02-26,2.16
2014-02-27,2.16
2014-02-28,2.17
2014-03-03,2.16
2014-03-04,2.18
2014-03-05,2.18
2014-03-06,2.21
2014-03-07,2.23
2014-03-10,2.22
2014-03-11,2.2
2014-03-12,2.19
2014-03-13,2.17
2014-03-14,2.17
2014-03-17,2.18
2014-03-18,2.18
2014-03-19,2.16
2014-03-20,2.13
2014-03-21,2.14
2014-03-24,2.15
2014-03-25,2.14
2014-03-26,2.14
2014-03-27,2.13
2014-03-28,2.13
2014-03-31,2.13
2014-04-01,2.14
2014-04-02,2.14
2014-04-03,2.14
2014-04-04,2.13
2014-04-07,2.12
2014-04-08,2.11
2014-04-09,2.14
2014-04-10,2.14
2014-04-11,2.13
2014-04-14,2.13
2014-04-15,2.14
2014-04-16,2.17
2014-04-17,2.21
2014-04-18,
2014-04-21,2.2
2014-04-22,2.21
2014-04-23,2.21
2014-04-24,2.21
2014-04-25,2.2
2014-04-28,2.18
2014-04-29,2.18
2014-04-30,2.18
2014-05-01,2.2
2014-05-02,2.19
2014-05-05,2.18
2014-05-06,2.16
2014-05-07,2.2
2014-05-08,2.19
2014-05-09,2.18
2014-05-12,2.18
2014-05-13,2.16
2014-05-14,2.17
2014-05-15,2.19
2014-05-16,2.18
2014-05-19,2.17
2014-05-20,2.17
2014-05-21,2.18
2014-05-22,2.21
2014-05-23,2.22
2014-05-26,
2014-05-27,2.21
2014-05-28,2.22
2014-05-29,2.23
2014-05-30,2.22
2014-06-02,2.22
2014-06-03,2.19
2014-06-04,2.17
2014-06-05,2.18
2014-06-06,2.2
2014-06-09,2.21
2014-06-10,2.21
2014-06-11,2.22
2014-06-12,2.19
2014-06-13,2.19
2014-06-16,2.2
2014-06-17,2.23
2014-06-18,2.23
2014-06-19,2.25
2014-06-20,2.28
2014-06-23,2.28
2014-06-24,2.28
2014-06-25,2.28
2014-06-26,2.27
2014-06-27,2.27
2014-06-30,2.26
2014-07-01,2.26
2014-07-02,2.26
2014-07-03,2.28
2014-07-04,
2014-07-07,2.27
2014-07-08,2.27
2014-07-09,2.29
2014-07-10,2.28
2014-07-11,2.28
2014-07-14,2.27
2014-07-15,2.25
2014-07-16,2.23
2014-07-17,2.23
2014-07-18,2.24
2014-07-21,2.24
2014-07-22,2.23
2014-07-23,2.23
2014-07-24,2.27
2014-07-25,2.28
2014-07-28,2.28
2014-07-29,2.27
2014-07-30,2.28
2014-07-31,2.29
2014-08-01,2.27
2014-08-04,2.25
2014-08-05,2.24
2014-08-06,2.25
2014-08-07,2.24
2014-08-08,2.25
2014-08-11,2.25
2014-08-12,2.24
2014-08-13,2.23
2014-08-14,2.21
2014-08-15,2.18
2014-08-18,2.18
2014-08-19,2.17
2014-08-20,2.17
2014-08-21,2.17
2014-08-22,2.14
2014-08-25,2.15
2014-08-26,2.14
2014-08-27,2.14
2014-08-28,2.13
2014-08-29,2.12
2014-09-01,
2014-09-02,2.15
2014-09-03,2.17
2014-09-04,2.17
2014-09-05,2.15
2014-09-08,2.13
2014-09-09,2.11
2014-09-10,2.1
2014-09-11,2.12
2014-09-12,2.13
2014-09-15,2.13
2014-09-16,2.12
2014-09-17,2.06
2014-09-18,2.02
2014-09-19,2.03
2014-09-22,1.99
2014-09-23,2.02
2014-09-24,2.03
2014-09-25,2.02
2014-09-26,1.97
2014-09-29,1.95
2014-09-30,1.97
