Tender,Company,Procurement,Notice,Location,Closing,Value,Date,Tender_Url
Dynamic Purchasing System (DPS) - Mechanical and Electrical Services,Acivico Group,  Opportunity,  Open,  B7 4BL,"  17 October 2022, 12pm","Contract value £0.01 to £4,000,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/44409e43-2df3-4ae7-bfb5-50ccad692493?origin=SearchResults&p=1
General Construction Multi Trade - GCMT - Housing & residential (20% VAT),London Borough of Haringey - Housing Services and Building Safety - Playle,  Opportunity,  Open,  United Kingdom,"  30 September 2022, 12pm","Contract value £22,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/5c61abc4-0b31-4149-bb51-5420c14784ac?origin=SearchResults&p=1
Auto Doors and Roller Shutter Maintenance 2022,The University of Warwick,  Opportunity,  Open,  CV4 7AL,"  13 October 2022, 12pm","Contract value £550,000 to £600,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/94908822-496d-4083-a87f-5222ef1ca801?origin=SearchResults&p=1
(CPU 5767) Rural Community Energy Fund Programme Evaluation,Midlands Net Zero Hub,  Opportunity,  Open,  England,"  10 October 2022, 12pm","Contract value £30,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/5fec935e-e63f-4c5d-8122-4af38e4d35f5?origin=SearchResults&p=1
Invitation to tender for provision of  Legal Services,EU SUPPLY LIMITED,  Opportunity,  Open,  South West,"  30 September 2022, 12pm","Contract value £30,000 to £100,000","  22 August 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/2bf933f8-0f78-4ce2-846d-1a8e77c3d299?origin=SearchResults&p=1
Equine Therapy for children and young people with special educational needs and/or disabilities,London Borough of Camden,  Opportunity,  Open,  England,"  17 October 2022, 12pm","Contract value £91,375",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/1127704a-f483-4ac4-82ad-fb844e37d4ed?origin=SearchResults&p=1
Feasibility Study for the Development of Colburn Lorry Park for Richmondshire District Council,Richmondshire District Council,  Opportunity,  Open,  Yorkshire and the Humber,"  13 October 2022, 12pm","Contract value £0 to £20,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/25bbbde0-8b7f-447a-a3cb-8f2d4572d94b?origin=SearchResults&p=1
RFI - Public Health Nursing Services,Buckinghamshire Council,  Early engagement,  Open,  England,  29 September 2022,Publication date 15 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/b924dcda-f900-47e2-bf54-29a01a91ccd5?origin=SearchResults&p=1
GB-London: T0482 - Buoy Maintenance Services for Rivers Deben and Ore,Trinity House,  Opportunity,  Open,  Any region,"   7 October 2022,  5pm","Contract value £50,000 to £100,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/6b8de48c-4591-40a1-a815-99ba49a74fb2?origin=SearchResults&p=1
Improving Resilience - Stem Cell Registry,Department of Health and Social Care (London),  Opportunity,  Open,  SW1H 0EU,"  17 October 2022, 12pm","Contract value £750,000","  14 September 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/38fc3d90-f1c0-4685-a54c-f4129f3d9325?origin=SearchResults&p=1
"GB-North Walsham: PROC068 Roofing Cladding Works, Cornish Way, North Walsham",North Norfolk District Council,  Opportunity,  Open,  East of England,"  13 October 2022, 12pm","Contract value £100,000 to £500,000",  15 September 2022,https://www.contractsfinder.service.gov.uk/notice/17dd5274-a9d8-470e-8f8a-5eeeb3501adb?origin=SearchResults&p=1
Council Staff Travel Solution,Torbay Council,  Opportunity,  Open,  TQ1 3DR,"  26 September 2022, 12pm","Contract value £127,000 to £350,000","  19 August 2022, last edited 15 September 2022",https://www.contractsfinder.service.gov.uk/notice/f108ee3e-960b-4989-98a3-824613da0278?origin=SearchResults&p=1
