Tender_Title,Reference_No,Closing_Date,Bid_Opening_Date
Replacement of 2 x 100 KVA UPS GSAT11 RTTC Ahmedabad,43/EEE-(AHD)/BSNL/2023-24,30-Oct-2023 03:00 PM,01-Nov-2023 04:00 PM
"Patch Work Route Malegaon - Shelu 24F OF Cable laying and Construction work under Jurisdiction of DE, OFC Route Prj, CN-Tx (W) Division  Nagpur.",PGM/CNTX-W/NP/NGP/PATCHWORK ,31-Oct-2023 12:00 PM,01-Nov-2023 12:00 PM
"External painting and repair works of Telephone Exchange Building, Dhenkanal.",12 of 2023-24/BCD/CTC,25-Oct-2023 03:00 PM,26-Oct-2023 03:30 PM
"Mechanical works for Augmentation of EUR (End unloading Rail Rakes) 52 No Maintenance Facility at Bhilai Exchange Yard, Dist- Durg, CG",12 / OT / 23-24 / RITES / PU-BSP / SECR-BHILAI/Mec,28-Oct-2023 06:00 PM,30-Oct-2023 11:00 AM
"Hiring of two numbers new Fire Water Tenders for the use of Fire Service Section of VPA including Manpower, Operation and Maintenance, excluding fuel charges for 24 hrs duty for a period of five years.",12/23-24/IMEE/MII/FIRE WATER TENDERS/DT17.10.2023,13-Nov-2023 02:00 PM,14-Nov-2023 03:00 PM
Bid Auto Extn Corrigendum,PUR/4/23-24/670/BFD/PN/PO,24-Oct-2023 03:00 PM,25-Oct-2023 03:00 PM
Bid Auto Extn Corrigendum,IGSTPP/CS/23-24/CRN-4038,21-Oct-2023 03:00 PM,23-Oct-2023 03:15 PM
Bid Auto Extn Corrigendum,IGSTPP/CS/23-24/CRN-4042         ,21-Oct-2023 03:00 PM,23-Oct-2023 03:00 PM
Bid Auto Extn Corrigendum,4/5(15)23-Pur,24-Oct-2023 03:00 PM,25-Oct-2023 03:00 PM
Bid Auto Extn Corrigendum,OFN/EO/CIVIL/23-24/RD2302,20-Oct-2023 03:00 PM,23-Oct-2023 03:00 PM
Supply and Installation of Forced Oscillation Technique Based Portable Oscillometry Device,3(POQ)/67/23-24/PUR/T-30,07-Nov-2023 03:00 PM,08-Nov-2023 03:00 PM
Supply of Erba Reagents Kits for fully Automatic Analyser at V.O.Chidambaranar Port Hospital for  a period of one year under rate contract,MED-MEDO0MISC (MISC)/27/2023-Medical ,09-Nov-2023 03:00 PM,10-Nov-2023 03:30 PM
"Annual comprehensive maintenance of Kone make 13 passenger lift at North Gate End of CTO Building, Kolkata.",87/TED-II/Kol/23-24,25-Oct-2023 02:30 PM,27-Oct-2023 02:30 PM
"Patch Work Route Malegaon - Mehkar 24F OF Cable laying and Construction work under Jurisdiction of DE, OFC Route Prj, CN-Tx (W) Division  Nagpur..",PGM/CNTX-W/NP/NGP/PATCHWORK ,31-Oct-2023 12:00 PM,01-Nov-2023 12:00 PM
EE(E)-I/Sh.N/MCD/23-24/TC-42/1,EE(E)-I/Sh.N/MCD/23-24/TC-42/1,23-Oct-2023 12:00 PM,24-Oct-2023 12:30 PM
Bid Auto Extn Corrigendum,PUR/207/FDY/RK/P/2023-24,24-Oct-2023 03:00 PM,25-Oct-2023 03:00 PM
Bid Auto Extn Corrigendum,AAI/RPR/COMML/BOOKS/2023,24-Oct-2023 03:00 PM,25-Oct-2023 03:00 PM
Bid Auto Extn Corrigendum,CIMFR/PUR/7(04)2023,24-Oct-2023 03:00 PM,25-Oct-2023 03:00 PM
Bid Auto Extn Corrigendum,AAI/RPR/COMML/WATCH/2023,24-Oct-2023 03:00 PM,25-Oct-2023 03:00 PM
amendment 02,HITES/ IDN/2023-24 /SNMC/Associated Works,23-Oct-2023 11:30 AM,25-Oct-2023 11:30 AM
