District,Ad #,FM Numbers,BDI,Short Description,Number of Contracts Awarded,Contract Threshold,Major Work Types,Minor Work Types,Under Utilized Work Groups,Contract Amount/Limit,Advertisement Date,Response Deadline Date/Time (*System Time Zone),Shortlist Selection Date,Final Selection Date,Selection Method,Standard Notes
01,23101, 43264413206,No,DRAINAGE SUPPORT CONSULTANT-DISTRICT WIDE,1,Technically Prequalified & Unlimited Audit required," 3.1-Minor Highway Design 
 3.2-Major Highway Design"," 2.0-Proj Development & Environmental (PD&E) Studies 
 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.3-Highway Materials Testing 
 9.5-Geotechnical Specialty Lab Testing"," GROUP 4-Highway Design - Bridges 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,500,000.00",09/12/2022,09/26/2022 05:00 PM,10/18/2022,11/15/2022, Letter of Response and Interview, Standard Note 8 
01,23104, 43085223201,No,SAFETY STUDY & MINOR DESIGN CSC,1,Technically Prequalified & Unlimited Audit required, 6.1-Traffic Engineering Studies," 3.1-Minor Highway Design 
 4.1.1-Miscellaneous Structures 
 6.2-Traffic Signal Timing 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization", GROUP 4-Highway Design - Bridges,"$5,000,000.00",09/12/2022,09/26/2022 05:00 PM,10/18/2022,11/15/2022, Letter of Response and Interview, Standard Note 8 
01,23105," 44431613203 
 44432013203",No,RESURFACING-CSC,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 6.1-Traffic Engineering Studies 
 6.2-Traffic Signal Timing 
 6.3.1-Intelligent Trans Systems Analysis & Design 
 6.3.2-Intelligent Trans Systems Implementation 
 6.3.3-Intelligent Trans Traffic Engin. Communications 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 15.0-Landscape Architect", GROUP 4-Highway Design - Bridges,"$5,000,000.00",01/30/2023,02/13/2023 05:00 PM,03/07/2023,04/04/2023, Letter of Response and Interview, Standard Note 8 
01,23107, 44893013201,Yes,SR 90 (US 41) FROM N OF THOMASSON DR TO S OF SOUTHWEST BLVD,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 6.1-Traffic Engineering Studies 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.2-Design, Right of Way, Construction Surveying",,"$1,270,974.00",08/15/2022,08/29/2022 05:00 PM,09/20/2022,12/13/2022, Letter of Response and Interview, Standard Note 7 
01,23113," 44897313201 
 44897313202",No,SR 15 (US 98) FROM SE 30TH TERR TO MARTIN COUNTY LINE,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 5.4-Bridge Load Rating 
 6.1-Traffic Engineering Studies 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying", GROUP 4-Highway Design - Bridges,"$1,595,941.00",08/22/2022,09/06/2022 05:00 PM,09/27/2022,11/01/2022, Letter of Response and Interview, Standard Note 8 
01,23115," 44927613201 
 44927613202",Yes,SR 60 FROM W OF SADDLEBAG LAKE RD TO E OF TIGER LAKE RD,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying",,"$1,278,225.00",07/11/2022,07/25/2022 05:00 PM,08/16/2022,09/13/2022, Letter of Response and Interview, Standard Note 7 
01,23116,,Yes,SR 35 (US 17) FROM HARDEE COUNTY LINE TO S OF BRIDGE 160079,2,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying",,"$1,278,225.00",07/11/2022,07/25/2022 05:00 PM,08/16/2022,09/13/2022, Letter of Response and Interview, Standard Note 7 
01,23120," 19839126202 
 40458026202",No,MATERIALS & TESTING CEI SUPPORT-CONTINUING SERVICES CONTRACT,1,Technically Prequalified & Unlimited Audit required," 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.3-Highway Materials Testing 
 9.4.1-Standard Foundation Studies 
 10.3-Construction Materials Inspection"," 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing"," GROUP 9-Soil Exploration, Material Testing, and Foundations 
 GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00",09/19/2022,10/17/2022 05:00 PM,11/08/2022,12/06/2022, Letter of Response and Abbreviated Technical Proposal," Standard Note 8  
 Standard Note 10  
 Standard Note 11  
 Standard Note 12"
01,23121, 19828516207,No,CONSTRUCTION CEI SURVEY SUPPORT - DISTRICT WIDE,1,Technically Prequalified & Unlimited Audit required," 8.2-Design, Right of Way, Construction Surveying",,,"$1,500,000.00",02/06/2023,02/20/2023 05:00 PM,03/14/2023,03/28/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 10 "
01,23123, 43372626201,No,SR 865 (SAN CARLOS) FROM N CRESCENT ST TO N OF HURRICANE,1,Technically Prequalified & Unlimited Audit required," 10.1-Roadway Construction Engineering Inspection 
 10.5.1-Major Bridge CEI - Concrete",," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,278,621.00",10/31/2022,11/22/2022 05:00 PM,12/06/2022,12/20/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
