OBJECTID,CONTROL_SECT_JOB,DISTRICT_NUMBER,COUNTY_NUMBER,HIGHWAY_NUMBER,PROJ_CLASS,TYPE_OF_WORK,LIMITS_FROM,LIMITS_TO,LAYMAN_DESCRIPTION1,LAYMAN_DESCRIPTION2,BEG_MILE_POINT,END_MILE_POINT,PRIORITY_CODE,DIST_LET_DATE,LET_SCH_1,LET_SCH_2,TRUNK_SYS_FLAG,FREIGHT,ENERGY,PROJ_LENGTH,RAIL_COORDINATION,ACTUAL_LET_DATE,CONTROL_SECTION,DISTRICT_NAME,COUNTY_NAME,PT_TOP100,NBR_LET_YEAR,NBR_LET_MONTH,NBR_TOTAL_MONTHS,FC,OFFCS,PT_PHASE,LOC_ERROR,TPP_WORK_PROGRAM,PRJ_TIER,PRJ_UTP,SHAPE_Length
1,091404273,14,227,VA,BIK,BICYCLE INFRASTRUCTURE IMPROVEMENTS,PROPOSED WILDHORSE CONNECTOR,TRAVIS COUNTY EAST METRO PARK,CONSTRUCT PEDESTRIAN INFRASTRUCTURE,,23.408,23.411,C,2308,2023,,N,,,0.003,N,,091404,Austin,Travis,0,2023,8,24284,19,914,Construction begins within 4 years,ROUTE NOT FOUND,2309,NA,1,0
2,090936120,9,14,VA,NNF,NEW LOCATION NON-FREEWAY,FM 439,US 190,NEW ARTERIAL,,,,P,4001,,,N,,,0.1,N,,090936,Waco,Bell,0,2040,1,24481,19,909,"Corridor Studies, construction in 10+ years",INVALID LOCATION MEASURE,PLAN,NA,,0
4,006605065,4,171,US 87,RER,REHABILITATION OF EXISTING ROAD,SOUTH CITY LIMITS OF DUMAS,SH 152,HIGHWAY IMPROVEMENT,,1.002,2.559,C,2104,2021,LA,Y,,,1.81,N,2104,006605,Amarillo,Moore,0,2021,4,24256,19,66,Construction underway or begins soon,NO ERROR,2101,NA,,0.0225943883906343
5,001605111,15,46,IH 35,WF,WIDEN FREEWAY,GUADALUPE/COMAL COUNTY LINE,FM 1103,WIDEN ROAD - ADD LANES,,0.151,1.703,D,2609,,,N,,,1.551,N,0,001605,San Antonio,Comal,0,2026,9,24321,19,16,Construction begins in 5 to 10 years,NO ERROR,02MU,NA,1,0.0249934195179802
6,009503101,18,130,US 80,BR,BRIDGE REPLACEMENT,EASTBOUND AT BUFFALO CREEK,.,BRIDGE REPLACEMENT,,2.126,2.137,D,2609,,,N,,,0,N,,009503,Dallas,Kaufman,0,2026,9,24321,19,95,Construction begins in 5 to 10 years,NO ERROR,2706,NA,1,0.000172756816608662
7,119802018,14,27,RM 963,IOI,PROVIDE ADDITIONAL PAVEMENT SURFACE,US 183,RM 2657,PROVIDE ADDITIONAL PAVEMENT SURFACE,,0,7.58,C,1806,2018,,N,,,7.58,N,1806,119802,Austin,Burnet,0,2018,6,24222,19,1198,Construction underway or begins soon,NO ERROR,1801,NA,,0.121214475631079
8,091920033,19,172,VA,TPW,TEXAS PARK AND WILDLIFE,AT DAINGERFIELD STATE PARK,.,STATE PARK IMPROVEMENTS,,0.002,1.27,C,2309,2024,,N,,,0.1,N,,091920,Atlanta,Morris,0,2023,9,24285,19,919,Construction begins within 4 years,ROUTE NOT FOUND,2410PR,NA,1,0
10,092233149,22,240,CS,TNR,TRANSPORTATION NON-ROADWAY,SPUR 400,US 59,TRANSPORTATION NON-ROADWAY,,,,C,2209,2023,,N,,,1.2,N,,092233,Laredo,Webb,0,2022,9,24273,19,922,Construction begins within 4 years,INVALID LOCATION MEASURE,LOCAL,NA,1,0
11,033804060,12,170,SH 105,WNF,WIDEN NON-FREEWAY,10TH STREET,SL 336,WIDEN ROAD - ADD LANES,,23.584,26.2,C,2208,2022,,N,,,2.604,N,2208,033804,Houston,Montgomery,0,2022,8,24272,19,338,Construction underway or begins soon,NO ERROR,02MU,1,,0.0435203800076503
12,341703021,14,227,FM 734,RER,REHABILITATION OF EXISTING ROAD,SAMSUNG BLVD,0.02 MI EAST OF HARRIS BRANCH,RECONSTRUCT EXISTING ROADWAY,,3.831,5.111,C,2212,2023,,N,,,1.51,N,0,341703,Austin,Travis,0,2022,12,24276,19,3417,Construction begins within 4 years,NO ERROR,2301,NA,1,0.0209711750591706
