Event ID,Event Name,End Date,Event Details Link
03A3431,"IFB Fuel Dispenser Repair and/or Replacement in Butte, Colusa, El Dorado, Glenn, Nevada, Placer, Sacramento, Sierra, Sutter, Yolo, and Yuba Counties",06/30/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/03A3431
03A3484,IFB Wildfire Fuel Reduction in El Dorado County,06/30/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/03A3484
04A6443,"IFB Trash Services in San Francisco, San Mateo, and Santa Clara Counties",06/30/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/04A6443
04A6469,Equipment Service Door Removal and Replacement Services in Santa Clara County,07/14/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/04A6469
04A6484,IFB Landfill Disposal Site Services in Santa Clara County,07/07/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/04A6484
06A2840,06A2840 Medical Services in Kern County,06/30/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/06A2840
07A5420,IFB Elevator Maintenance and Repair Services in Los Angeles County,07/05/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/07A5420
08A3488,IFB On-Call Drainage Structure Cleaning Services and Lab Analysis in San Bernardino and Riverside Counties,07/07/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/08A3488
11A3513,"IFB: Hallmark West Mitigation Site Maintenance (Carlsbad, CA)",07/14/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/11A3513
11A3515,IFB Removal of Hard and Soft Marine Growth Services in San Diego,07/05/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/11A3515
11A3528,"Demo and Clearance in San Diego, CA",07/07/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/11A3528
12A2006,IFB Wildfire Fuel Reduction (WFR) Vegetation and Tree Removal in Orange County,06/29/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/12A2006
12A2012,IFB Roll-up Door and Gate Maintenance and Repair Services in Orange County,07/07/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/12A2012
52A0151,Railroad Flagging throughout the State of California,07/07/22 - 2:00PM PDT,https://caleprocure.ca.gov/event/2660/52A0151
59A1200,IFB 59A1200 Routine Calibration and Verification Services for Caltrans Testing Equipment,07/05/22 - 2:00 PM PDT,https://caleprocure.ca.gov/event/2660/59A1200
74A1319,Planning Public Engagement Contract 6 (PPEC 6),07/07/22 - 1:00 PM PDT,https://caleprocure.ca.gov/event/2660/74A1319
88A0145,On-the-Job Training/Supportive Services,07/07/22 - 2:30 PM PDT,https://caleprocure.ca.gov/event/2660/88A0145
