doc_id,notice_status,cpv_code,country_iso,town_iso,project_name,title,notice_publication_number,publication_date,oj_s__issue_number,town_city_of_the_buyer,Official name of the buyer,original_language,country_of_the_buyer,type_of_buyer,eu_institution_agency,document_sent,type_of_contract,type_of_procedure,notice_type,regulation,type_of_bid,award_criteria,common_procurement_vocabulary_(cpv),place_of_performance_(nuts),internet_address_(url),legal_basis,deadline_date,document_id_1,publication_date_1,deadline_1,document_1,authority_Name_1,document_id_2,publication_date_2,deadline_2,document_2,authority_Name_2,document_id_3,publication_date_3,deadline_3,document_3,authority_Name_3,document_id_4,publication_date_4,deadline_4,document_4,authority_Name_4,country_alpha,country_mfn,currency_code,converted_amount_usd
526373-2021,Active,,France,Strasbourg,Translation services,France-Strasbourg: Translation services,526373-2021,15/10/2021,201,STRASBOURG,Conseil de l'Europe,EN,FR,5 - European Institution/Agency or International Organisation,-,11/10/2021,4 - Services,2 - Restricted procedure,A - Prior information notice with call for competition,Z - Not specified,1 - Submission for all lots,Z - Not specified,79530000 - Translation services,ADALAMAZBABGCZELFRGEHRHUITKGKZMKMTPLRORSRUSISKTJTMTRUA,http://www.coe.int,Public procurement Directive 2014/24/EU,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526249-2021,Active,,France,Le Kremlin-Bicêtre,Installation services of information-processing equipment,France-Le Kremlin-Bicêtre: Installation services of information-processing equipment,526249-2021,15/10/2021,201,LE KREMLIN-BICÊTRE,dirisi (11000201100044),FR,FR,1 - Ministry or any other national or federal authority,-,12/10/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,4 - European Union,9 - Not applicable,2 - The most economic tender,35120000 - Surveillance and security systems and devices51612000 - Installation services of information-processing equipment50324100 - System maintenance services,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526225-2021,Active,,France,Brest,Parts for warships,France-Brest: Parts for warships,526225-2021,15/10/2021,201,BREST,marine/dcssf/ Dssfbrest,FR,FR,1 - Ministry or any other national or federal authority,-,12/10/2021,2 - Supplies,4 - Negotiated procedure,3 - Contract notice,4 - European Union,Z - Not specified,2 - The most economic tender,50640000 - Repair and maintenance services of warships35520000 - Parts for warships,FRH02FRL05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526221-2021,Active,,France,Bourges,Measuring instruments,France-Bourges: Measuring instruments,526221-2021,15/10/2021,201,BOURGES,minarm/Dga/Do/S2a,FR,FR,1 - Ministry or any other national or federal authority,-,12/10/2021,2 - Supplies,4 - Negotiated procedure,2 - Additional information,4 - European Union,Z - Not specified,2 - The most economic tender,38300000 - Measuring instruments,FRB01,nan,nan,nan,395350-2021,03/08/2021,30/09/2021,3 - Contract notice,minarm/Dga/Do/S2a (15200039400014),526221-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526219-2021,Active,,France,Saint-Paul-lez-Durance,Installation of telecommunications equipment,France-Saint-Paul-lez-Durance: Installation of telecommunications equipment,526219-2021,15/10/2021,201,SAINT-PAUL-LEZ-DURANCE,CEA - CENTRE DE CADARACHE,FR,FR,6 - Body governed by public law,-,11/10/2021,1 - Works,2 - Restricted procedure,3 - Contract notice,4 - European Union,Z - Not specified,2 - The most economic tender,45314000 - Installation of telecommunications equipment,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526213-2021,Active,,France,Lens,Provision of services to the community,France-Lens: Provision of services to the community,526213-2021,15/10/2021,201,LENS,ville de lens,FR,FR,3 - Regional or local authority,-,11/10/2021,4 - Services,E - Concession award procedure,J - Concession award notice,4 - European Union,9 - Not applicable,8 - Other,"15800000 - Miscellaneous food products75200000 - Provision of services to the community79950000 - Exhibition, fair and congress organisation services",FRE12,http://www.villedelens.fr,Concession contract Directive 2014/23/EU,nan,93709-2021,23/02/2021,23/04/2021,H - Services concession,Ville de Lens,177072-2021,09/04/2021,23/04/2021,2 - Additional information,Ville de Lens,526213-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526212-2021,Active,,France,Ribeauvillé,"Recreational, cultural and sporting services","France-Ribeauvillé: Recreational, cultural and sporting services",526212-2021,15/10/2021,201,RIBEAUVILLÉ,Ville de RIBEAUVILLE (21680269400010),FR,FR,3 - Regional or local authority,-,11/10/2021,4 - Services,E - Concession award procedure,J - Concession award notice,4 - European Union,9 - Not applicable,8 - Other,"92000000 - Recreational, cultural and sporting services",FRF1,https://www.e-marchespublics.com,Concession contract Directive 2014/23/EU,nan,139979-2021,19/03/2021,26/04/2021,H - Services concession,Ville de Ribeauvillé (21680269400010),526212-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526211-2021,Active,,France,Clichy-la-Garenne,Vehicle towing-away services,France-Clichy-la-Garenne: Vehicle towing-away services,526211-2021,15/10/2021,201,CLICHY-LA-GARENNE,commune de clichy,FR,FR,3 - Regional or local authority,-,11/10/2021,4 - Services,E - Concession award procedure,J - Concession award notice,4 - European Union,9 - Not applicable,8 - Other,50118110 - Vehicle towing-away services,FR105,http://www.ville-clichy.fr,Concession contract Directive 2014/23/EU,nan,303470-2021,16/06/2021,16/07/2021,H - Services concession,Commune de Clichy,526211-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526207-2021,Active,,France,Épernay,Sewage services,France-Épernay: Sewage services,526207-2021,15/10/2021,201,ÉPERNAY,ca epernay coteaux et plaine champagne,FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,E - Concession award procedure,H - Services concession,4 - European Union,2 - Submission for one lot only,8 - Other,90400000 - Sewage services90480000 - Sewerage management services,FRF23,http://www.epernay.fr,Concession contract Directive 2014/23/EU,13/12/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
526206-2021,Active,,France,Foix,Public road transport services,France-Foix: Public road transport services,526206-2021,15/10/2021,201,FOIX,communauté d'agglomération Pays Foix-V (20006779100018),FR,FR,3 - Regional or local authority,-,12/10/2021,4 - Services,E - Concession award procedure,H - Services concession,4 - European Union,1 - Submission for all lots,8 - Other,60112000 - Public road transport services,FRJ21,http://www.agglo-foix-varilhes.fr/,Concession contract Directive 2014/23/EU,07/12/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, FRA, 250,EUR FRF,
