doc_id,notice_status,cpv_code,country_iso,town_iso,project_name,title,notice_publication_number,publication_date,oj_s__issue_number,town_city_of_the_buyer,Official name of the buyer,original_language,country_of_the_buyer,type_of_buyer,eu_institution_agency,document_sent,type_of_contract,type_of_procedure,notice_type,regulation,type_of_bid,award_criteria,common_procurement_vocabulary_(cpv),place_of_performance_(nuts),internet_address_(url),legal_basis,deadline_date,latitude,longitude,document_id_1,publication_date_1,deadline_1,document_1,authority_Name_1,document_id_2,publication_date_2,deadline_2,document_2,authority_Name_2,document_id_3,publication_date_3,deadline_3,description,postal_code,email,amount,currency,og_notice_no,document_3,authority_Name_3,document_id_4,publication_date_4,deadline_4,document_4,authority_Name_4,document_id_5,publication_date_5,deadline_5,country_alpha,country_mfn,currency_code,converted_amount_usd
526406-2021,Active,,United Kingdom,Bristol,Civil engineering consultancy services,United Kingdom-Bristol: Civil engineering consultancy services,526406-2021,15/10/2021,201,BRISTOL,MOD,EN,UK,1 - Ministry or any other national or federal authority,-,12/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,71311000 - Civil engineering consultancy services,UKF3,https://www.gov.uk/government/organisations/ministry-of-defence,Defence Directive 2009/81/EC,nan,51.4538022,-2.5972985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526405-2021,Active,,United Kingdom,Stanford-le-hope,Civil engineering consultancy services,United Kingdom-Stanford-le-hope: Civil engineering consultancy services,526405-2021,15/10/2021,201,STANFORD-LE-HOPE,London Gateway Port Limited,EN,UK,4 - Utilities entity,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,71311000 - Civil engineering consultancy services,UK,www.londongateway.com,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,51.5138172,0.4252037,536370-2019,12/11/2019,27/11/2019,3 - Contract notice,London Gateway Port Ltd,526405-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526404-2021,Active,,United Kingdom,Stockport,Miscellaneous business and business-related services,United Kingdom-Stockport: Miscellaneous business and business-related services,526404-2021,15/10/2021,201,STOCKPORT,Electricity North West Ltd,EN,UK,4 - Utilities entity,-,11/10/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,79900000 - Miscellaneous business and business-related services,UKD,www.enwl.co.uk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,53.407901,-2.160243,62604-2017,17/02/2017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526403-2021,Active,,United Kingdom,Reading,Wastewater-plant repair and maintenance work,United Kingdom-Reading: Wastewater-plant repair and maintenance work,526403-2021,15/10/2021,201,READING,Thames Water Utilities Limited,EN,UK,4 - Utilities entity,-,12/10/2021,1 - Works,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"45222100 - Waste-treatment plant construction work45252130 - Sewage plant equipment45252000 - Construction works for sewage treatment plants, purification plants and refuse incineration plants45252100 - Sewage-treatment plant construction work45259100 - Wastewater-plant repair and maintenance work",UKIUKJ,www.thameswater.co.uk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,51.456659,-0.9696512,511889-2020,27/10/2020,10/11/2020,3 - Contract notice,Thames Water Utilities Ltd,526403-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526402-2021,Active,,United Kingdom,Reading,Sewage-treatment plant construction work,United Kingdom-Reading: Sewage-treatment plant construction work,526402-2021,15/10/2021,201,READING,Thames Water Utilities Limited,EN,UK,4 - Utilities entity,-,12/10/2021,1 - Works,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"45252000 - Construction works for sewage treatment plants, purification plants and refuse incineration plants45252100 - Sewage-treatment plant construction work39350000 - Sewerage works equipment71320000 - Engineering design services",UKJ25,www.thameswater.co.uk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,51.456659,-0.9696512,137622-2020,20/03/2020,27/04/2020,3 - Contract notice,Thames Water Utilities Ltd,160687-2020,03/04/2020,27/04/2020,2 - Additional information,Thames Water Utilities Ltd,526402-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526401-2021,Active,,United Kingdom,Huddersfield,Health and social work services,United Kingdom-Huddersfield: Health and social work services,526401-2021,15/10/2021,201,HUDDERSFIELD,The Council of the Borough of Kirklees (4203130),EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,B - Competitive procedure with negotiation,K - Modification of a contract/concession during its term,4 - European Union,9 - Not applicable,9 - Not applicable,80500000 - Training services80400000 - Adult and other education services80300000 - Higher education services85000000 - Health and social work services,UKE44,http://www.kirklees.gov.uk,Public procurement Directive 2014/24/EU,nan,53.6466645,-1.7822482,555290-2018,18/12/2018,02/01/2019,A - Prior information notice with call for competition,The Council of the Borough of Kirklees,557838-2019,25/11/2019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526400-2021,Active,,United Kingdom,Sandbach,Social work and related services,United Kingdom-Sandbach: Social work and related services,526400-2021,15/10/2021,201,SANDBACH,Cheshire East Borough Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,1 - Open procedure,K - Modification of a contract/concession during its term,Z - Not specified,9 - Not applicable,9 - Not applicable,85300000 - Social work and related services85000000 - Health and social work services,UKD62,http://www.cheshireeast.gov.uk/,Public procurement Directive 2014/24/EU,nan,53.1391053,-2.3742509786190222,384669-2020,14/08/2020,18/09/2020,3 - Contract notice,Cheshire East Borough Council,619167-2020,21/12/2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526399-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526399-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526398-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526398-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526397-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526397-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526396-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526396-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526395-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526395-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526394-2021,Active,,United Kingdom,Birmingham,Training services,United Kingdom-Birmingham: Training services,526394-2021,15/10/2021,201,BIRMINGHAM,National Highways (09346363),EN,UK,N - National or federal Agency/Office,-,12/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,80500000 - Training services,UK,https://highwaysengland.co.uk/,Public procurement Directive 2014/24/EU,nan,52.4796992,-1.9026911,175482-2020,14/04/2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Learning & Development Managed Service Provider  for National Highways.,B1 1RN,Lauren.hopkins@highwaysengland.co.uk,20000000.00,EUR,EUR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,165398.6107
526393-2021,Active,,United Kingdom,Edinburgh,Closed circuit television services,United Kingdom-Edinburgh: Closed circuit television services,526393-2021,15/10/2021,201,EDINBURGH,The City of Edinburgh Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,32323500 - Video-surveillance system92222000 - Closed circuit television services32412000 - Communications network32235000 - Closed-circuit surveillance system32412100 - Telecommunications network32234000 - Closed-circuit television cameras32231000 - Closed-circuit television apparatus,UKM75,http://www.edinburgh.gov.uk,Public procurement Directive 2014/24/EU,nan,55.9519018,-3.1904199,483795-2020,13/10/2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Upgrade of the City of Edinburgh Council's IP Video Surveillance System,EH8 8BG,lynn.hemsley@edinburgh.gov.uk,3519000,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,29101.8855
526392-2021,Active,,United Kingdom,London,Advertising services,United Kingdom-London: Advertising services,526392-2021,15/10/2021,201,LONDON,London Borough of Lambeth (n/a),EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,79341000 - Advertising services79340000 - Advertising and marketing services,UKI45,http://www.lambeth.gov.uk,Public procurement Directive 2014/24/EU,nan,51.5073219,-0.1276474,634279-2020,24/12/2020,28/01/2021,3 - Contract notice,London Borough of Lambeth (n/a),526392-2021,15/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526391-2021,Active,,United Kingdom,Bexleyheath,School cleaning services,United Kingdom-Bexleyheath: School cleaning services,526391-2021,15/10/2021,201,BEXLEYHEATH,Odyssey Trust For Education (07844587),EN,UK,6 - Body governed by public law,-,12/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,90919300 - School cleaning services,UKI51,http://odysseytrust.org.uk/,Public procurement Directive 2014/24/EU,nan,51.4634854,0.1480552,539055-2020,10/11/2020,07/12/2020,3 - Contract notice,Odyssey Trust For Education (07844587),526391-2021,15/10/2021,nan,nan,nan,nan,nan,nan,"Odyssey Trust for Education is a multi-academy trust comprising 2 secondary schools in Bexley, South East London.The Contract period will be for 3 years initially with the option to extend for two further one year periods. The services are to be provided at the following addresses:Townley Grammar School, Townley Road, Bexleyheath, DA6 7ABKing Henry School, Avenue Road, Erith, DA8 3BNThe current cleaning provision is outsourced at King Henry, and inhouse at Townley Grammar, so LGPS is likely but will be confirmed at the ITT stage.",DA6 7AB,Alia.Trevanion@schoolsbuyingclub.com,3725000,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,30805.4912
