doc_id,notice_status,cpv_code,country_iso,town_iso,project_name,title,notice_publication_number,publication_date,oj_s__issue_number,town_city_of_the_buyer,Official name of the buyer,original_language,country_of_the_buyer,type_of_buyer,eu_institution_agency,document_sent,type_of_contract,type_of_procedure,notice_type,regulation,type_of_bid,award_criteria,common_procurement_vocabulary_(cpv),place_of_performance_(nuts),internet_address_(url),legal_basis,deadline_date,latitude,longitude,document_id_1,publication_date_1,deadline_1,document_1,authority_Name_1,document_id_2,publication_date_2,deadline_2,document_2,authority_Name_2,document_id_3,publication_date_3,deadline_3,country_alpha,country_mfn,currency_code,converted_amount_usd
526406-2021,Active,,United Kingdom,Bristol,Civil engineering consultancy services,United Kingdom-Bristol: Civil engineering consultancy services,526406-2021,15/10/2021,201,BRISTOL,MOD,EN,UK,1 - Ministry or any other national or federal authority,-,12/10/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,71311000 - Civil engineering consultancy services,UKF3,https://www.gov.uk/government/organisations/ministry-of-defence,Defence Directive 2009/81/EC,nan,51.4538022,-2.5972985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526405-2021,Active,,United Kingdom,Stanford-le-hope,Civil engineering consultancy services,United Kingdom-Stanford-le-hope: Civil engineering consultancy services,526405-2021,15/10/2021,201,STANFORD-LE-HOPE,London Gateway Port Limited,EN,UK,4 - Utilities entity,-,12/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,71311000 - Civil engineering consultancy services,UK,www.londongateway.com,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,51.5138172,0.4252037,536370-2019,12/11/2019,27/11/2019,3 - Contract notice,London Gateway Port Ltd,526405-2021,15/10/2021,nan,nan,nan,nan,nan,nan, GBR, 826,,
526404-2021,Active,,United Kingdom,Stockport,Miscellaneous business and business-related services,United Kingdom-Stockport: Miscellaneous business and business-related services,526404-2021,15/10/2021,201,STOCKPORT,Electricity North West Ltd,EN,UK,4 - Utilities entity,-,11/10/2021,4 - Services,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,79900000 - Miscellaneous business and business-related services,UKD,www.enwl.co.uk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,53.407901,-2.160243,62604-2017,17/02/2017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526403-2021,Active,,United Kingdom,Reading,Wastewater-plant repair and maintenance work,United Kingdom-Reading: Wastewater-plant repair and maintenance work,526403-2021,15/10/2021,201,READING,Thames Water Utilities Limited,EN,UK,4 - Utilities entity,-,12/10/2021,1 - Works,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"45222100 - Waste-treatment plant construction work45252130 - Sewage plant equipment45252000 - Construction works for sewage treatment plants, purification plants and refuse incineration plants45252100 - Sewage-treatment plant construction work45259100 - Wastewater-plant repair and maintenance work",UKIUKJ,www.thameswater.co.uk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,51.456659,-0.9696512,511889-2020,27/10/2020,10/11/2020,3 - Contract notice,Thames Water Utilities Ltd,526403-2021,15/10/2021,nan,nan,nan,nan,nan,nan, GBR, 826,,
526402-2021,Active,,United Kingdom,Reading,Sewage-treatment plant construction work,United Kingdom-Reading: Sewage-treatment plant construction work,526402-2021,15/10/2021,201,READING,Thames Water Utilities Limited,EN,UK,4 - Utilities entity,-,12/10/2021,1 - Works,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"45252000 - Construction works for sewage treatment plants, purification plants and refuse incineration plants45252100 - Sewage-treatment plant construction work39350000 - Sewerage works equipment71320000 - Engineering design services",UKJ25,www.thameswater.co.uk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,51.456659,-0.9696512,137622-2020,20/03/2020,27/04/2020,3 - Contract notice,Thames Water Utilities Ltd,160687-2020,03/04/2020,27/04/2020,2 - Additional information,Thames Water Utilities Ltd,526402-2021,15/10/2021,nan, GBR, 826,,
526401-2021,Active,,United Kingdom,Huddersfield,Health and social work services,United Kingdom-Huddersfield: Health and social work services,526401-2021,15/10/2021,201,HUDDERSFIELD,The Council of the Borough of Kirklees (4203130),EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,B - Competitive procedure with negotiation,K - Modification of a contract/concession during its term,4 - European Union,9 - Not applicable,9 - Not applicable,80500000 - Training services80400000 - Adult and other education services80300000 - Higher education services85000000 - Health and social work services,UKE44,http://www.kirklees.gov.uk,Public procurement Directive 2014/24/EU,nan,53.6466645,-1.7822482,555290-2018,18/12/2018,02/01/2019,A - Prior information notice with call for competition,The Council of the Borough of Kirklees,557838-2019,25/11/2019,nan,nan,nan,nan,nan,nan, GBR, 826,,
526400-2021,Active,,United Kingdom,Sandbach,Social work and related services,United Kingdom-Sandbach: Social work and related services,526400-2021,15/10/2021,201,SANDBACH,Cheshire East Borough Council,EN,UK,3 - Regional or local authority,-,11/10/2021,4 - Services,1 - Open procedure,K - Modification of a contract/concession during its term,Z - Not specified,9 - Not applicable,9 - Not applicable,85300000 - Social work and related services85000000 - Health and social work services,UKD62,http://www.cheshireeast.gov.uk/,Public procurement Directive 2014/24/EU,nan,53.1391053,-2.3742509786190222,384669-2020,14/08/2020,18/09/2020,3 - Contract notice,Cheshire East Borough Council,619167-2020,21/12/2020,nan,nan,nan,nan,nan,nan, GBR, 826,,
526399-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526399-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526398-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526398-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
526397-2021,Active,,United Kingdom,Ipswich,Transport services (excl. Waste transport),United Kingdom-Ipswich: Transport services (excl. Waste transport),526397-2021,15/10/2021,201,IPSWICH,Suffolk County Council,EN,UK,3 - Regional or local authority,-,12/10/2021,4 - Services,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
