aug_id,original_id,tender_title,released_date,project_name,project_or_tender,bidding_price,description,region,region_coordinates,place_of_bid,place_of_bid_coordinates,place_of_bid_opening,place_of_bid_opening_coordinates,bid_opening,status,country_code,bidding_start_date,bidding_end_date,bidding_agency
e71a16d4-2352-46fe-9d54-b17326b0ec65,0679-234DFWHGG102,Procurement of 0679-234DFWHGG102 Modular dynamic testing machine for laboratories(1),2023-05-04,Modular dynamic testing machine for laboratories,P,$150,Required field not presented in the source,"Hubei Provence, China","32.0715816, 112.18537772071377","Room 108, Dongfeng International Tendering Co., Ltd, No. 46 Zhenhua Road, Wuhan Economic and Technological Development Zone, Hubei Provence.","32.0715816, 112.18537772071377","Room 108, Dongfeng International Tendering Co., Ltd, No. 46 Zhenhua Road, Wuhan Economic and Technological Development Zone, Hubei Provence.","32.0715816, 112.18537772071377",2023-05-25 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Dongfeng International Tendering Co., Ltd."
4579a874-2413-4f3a-a067-56edf9a053d9,3501-234DFGZYX027,Procurement of 3501-234DFGZYX027 Vehicle collision laboratory-Phase 1 Equipment Investment-Collision Experiment False and its calibration system(2),2023-05-04,Vehicle collision laboratory-Phase 1 Equipment Investment-Collision Experiment False and its calibration system,P,$150,Required field not presented in the source,"Guangdong,Guangzhou","23.1301964, 113.2592945","Conference Room No. 2, 1st Floor, Procurement Headquarters, Dongfeng Nissan Passenger Vehicle Company, No. 12 Fengshen Avenue, Huadu District, Guangzhou","23.372679, 113.1208389","Conference Room No. 2, 1st Floor, Procurement Headquarters, Dongfeng Nissan Passenger Vehicle Company, No. 12 Fengshen Avenue, Huadu District, Guangzhou","23.372679, 113.1208389",2023-05-26 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-05,2023-05-11,Dongfeng Consulting Co. Ltd
4a00b9ba-2be9-4a5c-a0fc-c94bea990b36,4197-2240XAESW002/21,Procurement of 4197-2240XAESW002/21 Silicon Industrial Base Phase II Project of Xi'an ESWIN(1),2023-05-04,Silicon Industrial Base Phase II Project of Xi'an ESWIN,P,$500,Required field not presented in the source,"Shanxi Province, China","37.0, 112.0","CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, PRC",Coordinates not available,"CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, PRC",Coordinates not available,2023-05-25 10:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"China Electronics Commerce (Beijing) Co., Ltd"
65c5ae0d-469a-4d38-ba0f-556cdc864d92,4197-2240XAESW002/19,Procurement of 4197-2240XAESW002/19 Silicon Industrial Base Phase II Project of Xi'an ESWIN(1),2023-05-04,Silicon Industrial Base Phase II Project of Xi'an ESWIN,P,$1650,Required field not presented in the source,"Shanxi Province, China","37.0, 112.0","CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, PRC",Coordinates not available,"CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, PRC",Coordinates not available,2023-05-25 10:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"China Electronics Commerce (Beijing) Co., Ltd"
916774dc-1493-43e5-a2b2-4fee804b05db,0679-234DFWHGG029,Procurement of 0679-234DFWHGG029 Static testing machine for laboratory modules(2),2023-05-04,Static testing machine for laboratory modules,P,$150,Required field not presented in the source,"Hubei Provence, China","32.0715816, 112.18537772071377","Room 108, Dongfeng International Tendering Co., Ltd, No. 46 Zhenhua Road, Wuhan Economic and Technological Development Zone, Hubei Provence.","32.0715816, 112.18537772071377","Room 108, Dongfeng International Tendering Co., Ltd, No. 46 Zhenhua Road, Wuhan Economic and Technological Development Zone, Hubei Provence.","32.0715816, 112.18537772071377",2023-05-25 14:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Dongfeng International Tendering Co., Ltd."
80a4b786-5feb-4ae2-8bcd-3b7ef89482b9,0747-2340SCCZS024,Procurement of 0747-2340SCCZS024 Fine Chemicals and Raw Materials Project VRDS Unit Makeup Gas Compressors(2),2023-05-04,Fine Chemicals and Raw Materials Project VRDS Unit Makeup Gas Compressors,P,$150,Required field not presented in the source,"Liaoning Province, China","40.9975197, 122.9955469","Meeting Room 2312, 23rd Floor, PINGAN Fortune Center Block B, Beijing 100073, P.R. China.","39.906217, 116.3912757","Meeting Room 2312, 23rd Floor, PINGAN Fortune Center Block B, Beijing 100073, P.R. China.","39.906217, 116.3912757",2023-06-01 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-11,"SINOCHEM COMMERCE CO.,LTD"
c21cd1fb-2a3f-4b90-83dc-4c15af671ab1,0679-234DFWHGG032,Procurement of 0679-234DFWHGG032 PIN needle ultrasonic welding equipment(2),2023-05-04,PIN needle ultrasonic welding equipment,P,$150,Required field not presented in the source,Hubei province of China,Coordinates not available,"No. 46 Zhenhua Road, Wuhan Economic Development Zone Dongfeng International Co., Ltd 107 room","0.3298238, 32.5754483","No. 46 Zhenhua Road, Wuhan Economic Development Zone Dongfeng International Co., Ltd 107 room","0.3298238, 32.5754483",2023-05-26 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Dongfeng International Tendering Co., Ltd."
ae2f2d91-222f-41bd-93e6-d53b7dbd51ac,1200-234GB2023003/02,Procurement of 1200-234GB2023003/02 Hainan Eye Hospital Clinical Examination Equipment Procurement Project(1),2023-05-04,Hainan Eye Hospital Clinical Examination Equipment Procurement Project,P,$80,Required field not presented in the source,"Hainan Province, China","19.2000001, 109.5999999","Block A, 13th Floor, Zhongheng Building, No. 49 Guomao Road, Haikou City","20.0276965, 110.3157988","Block A, 13th Floor, Zhongheng Building, No. 49 Guomao Road, Haikou City","20.0276965, 110.3157988",2023-05-25 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Hainan government procurement Bidding co., LTD"
38bd879e-3ff9-43ab-8af4-3163d9006ad4,0679-234DFWHGG102,Procurement of 0679-234DFWHGG102 Modular dynamic testing machine for laboratories(1),2023-05-04,Modular dynamic testing machine for laboratories,P,$150,Required field not presented in the source,"Hubei Provence, China","32.0715816, 112.18537772071377","Room 108, Dongfeng International Tendering Co., Ltd, No. 46 Zhenhua Road, Wuhan Economic and Technological Development Zone, Hubei Provence.","32.0715816, 112.18537772071377","Room 108, Dongfeng International Tendering Co., Ltd, No. 46 Zhenhua Road, Wuhan Economic and Technological Development Zone, Hubei Provence.","32.0715816, 112.18537772071377",2023-05-25 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"Dongfeng International Tendering Co., Ltd."
adeb04b1-e648-4b58-ac6a-1f9d923482ae,3501-234DFGZYX027,Procurement of 3501-234DFGZYX027 Vehicle collision laboratory-Phase 1 Equipment Investment-Collision Experiment False and its calibration system(2),2023-05-04,Vehicle collision laboratory-Phase 1 Equipment Investment-Collision Experiment False and its calibration system,P,$150,Required field not presented in the source,"Guangdong,Guangzhou","23.1301964, 113.2592945","Conference Room No. 2, 1st Floor, Procurement Headquarters, Dongfeng Nissan Passenger Vehicle Company, No. 12 Fengshen Avenue, Huadu District, Guangzhou","23.372679, 113.1208389","Conference Room No. 2, 1st Floor, Procurement Headquarters, Dongfeng Nissan Passenger Vehicle Company, No. 12 Fengshen Avenue, Huadu District, Guangzhou","23.372679, 113.1208389",2023-05-26 09:30,Bidding yet to start,ISO 3166-1 CHN,2023-05-05,2023-05-11,Dongfeng Consulting Co. Ltd
38df9e96-8a48-4de6-aa91-02c6e0e6e70b,4197-2240XAESW002/21,Procurement of 4197-2240XAESW002/21 Silicon Industrial Base Phase II Project of Xi'an ESWIN(1),2023-05-04,Silicon Industrial Base Phase II Project of Xi'an ESWIN,P,$500,Required field not presented in the source,"Shanxi Province, China","37.0, 112.0","CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, PRC",Coordinates not available,"CECOM Meeting Room, Building A, 17 Fuxing Road, Haidian District, Beijing, PRC",Coordinates not available,2023-05-25 10:00,Bidding yet to start,ISO 3166-1 CHN,2023-05-04,2023-05-10,"China Electronics Commerce (Beijing) Co., Ltd"
