tender_row_nr;tender_id;tender_country;tender_title;tender_size;tender_supplyType;tender_procedureType;tender_nationalProcedureType;tender_mainCpv;tender_cpvs;tender_addressOfImplementation_nuts;tender_year;tender_eligibleBidLanguages;tender_npwp_reasons;tender_awardDeadline;tender_contractSignatureDate;tender_awardDecisionDate;tender_bidDeadline;tender_cancellationDate;tender_estimatedStartDate;tender_estimatedCompletionDate;tender_estimatedDurationInYears;tender_estimatedDurationInMonths;tender_estimatedDurationInDays;tender_isEUFunded;tender_isDps;tender_isElectronicAuction;tender_isAwarded;tender_isCentralProcurement;tender_isJointProcurement;tender_isOnBehalfOf;tender_isFrameworkAgreement;tender_isCoveredByGpa;tender_hasLots;tender_estimatedPrice;tender_estimatedPrice_currency;tender_estimatedPrice_minNetAmount;tender_estimatedPrice_maxNetAmount;tender_estimatedPrice_EUR;tender_finalPrice;tender_finalPrice_currency;tender_finalPrice_minNetAmount;tender_finalPrice_maxNetAmount;tender_finalPrice_EUR;tender_description_length;tender_personalRequirements_length;tender_economicRequirements_length;tender_technicalRequirements_length;tender_documents_count;tender_awardCriteria_count;tender_corrections_count;tender_onBehalfOf_count;tender_lots_count;tender_publications_count;tender_publications_firstCallForTenderDate;tender_publications_lastCallForTenderDate;tender_publications_firstdContractAwardDate;tender_publications_lastContractAwardDate;tender_publications_lastContractAwardUrl;tender_indicator_INTEGRITY_SINGLE_BID;tender_indicator_INTEGRITY_CALL_FOR_TENDER_PUBLICATION;tender_indicator_INTEGRITY_ADVERTISEMENT_PERIOD;tender_indicator_INTEGRITY_PROCEDURE_TYPE;tender_indicator_INTEGRITY_DECISION_PERIOD;tender_indicator_INTEGRITY_TAX_HAVEN;tender_indicator_INTEGRITY_NEW_COMPANY;tender_indicator_ADMINISTRATIVE_CENTRALIZED_PROCUREMENT;tender_indicator_ADMINISTRATIVE_ELECTRONIC_AUCTION;tender_indicator_ADMINISTRATIVE_COVERED_BY_GPA;tender_indicator_ADMINISTRATIVE_FRAMEWORK_AGREEMENT;tender_indicator_ADMINISTRATIVE_ENGLISH_AS_FOREIGN_LANGUAGE;tender_indicator_ADMINISTRATIVE_NOTICE_AND_AWARD_DISCREPANCIES;tender_indicator_TRANSPARENCY_NUMBER_OF_KEY_MISSING_FIELDS;tender_indicator_TRANSPARENCY_AWARD_DATE_MISSING;tender_indicator_TRANSPARENCY_BUYER_NAME_MISSING;tender_indicator_TRANSPARENCY_PROC_METHOD_MISSING;tender_indicator_TRANSPARENCY_BUYER_LOC_MISSING;tender_indicator_TRANSPARENCY_BIDDER_ID_MISSING;tender_indicator_TRANSPARENCY_BIDDER_NAME_MISSING;tender_indicator_TRANSPARENCY_MARKET_MISSING;tender_indicator_TRANSPARENCY_TITLE_MISSING;tender_indicator_TRANSPARENCY_VALUE_MISSING;tender_indicator_TRANSPARENCY_YEAR_MISSING;tender_indicator_INTEGRITY_WINNER_CA_SHARE;tender_indicator_TRANSPARENCY_MISSING_ADDRESS_OF_IMPLEMENTATION_NUTS;tender_indicator_TRANSPARENCY_MISSING_ELIGIBLE_BID_LANGUAGES;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_AWARD_CRITERIA;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_CPVS;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_DURATION_INFO;tender_indicator_TRANSPARENCY_MISSING_OR_INCOMPLETE_FUNDINGS_INFO;tender_indicator_TRANSPARENCY_MISSING_SELECTION_METHOD;tender_indicator_TRANSPARENCY_MISSING_SUBCONTRACTED_INFO;buyer_row_nr;buyer_buyerType;buyer_mainActivities;buyer_id;buyer_name;buyer_nuts;buyer_city;buyer_country;buyer_postcode;lot_row_nr;lot_title;lot_selectionMethod;lot_status;lot_contractSignatureDate;lot_cancellationDate;lot_isAwarded;lot_estimatedPrice;lot_estimatedPrice_currency;lot_estimatedPrice_minNetAmount;lot_estimatedPrice_maxNetAmount;lot_estimatedPrice_EUR;lot_lotNumber;lot_bidsCount;lot_validBidsCount;lot_smeBidsCount;lot_electronicBidsCount;lot_nonEuMemberStatesCompaniesBidsCount;lot_otherEuMemberStatesCompaniesBidsCount;lot_foreignCompaniesBidsCount;lot_description_length;bid_row_nr;bid_isWinning;bid_isSubcontracted;bid_isConsortium;bid_price;bid_price_currency;bid_price_minNetAmount;bid_price_maxNetAmount;bid_price_EUR;bidder_row_nr;bidder_id;bidder_name;bidder_nuts;bidder_city;bidder_country;bidder_postcode
1;95deb300-4079-4b35-9ec1-32f6cf1ba19a;MT;;BELOW_THE_THRESHOLD;SUPPLIES;OPEN;;24121300;24121300;MT001;;EN;;;;2008/05/05;2008/02/12;;;;;20;600;no;no;no;;;;no;no;yes;;138183;EUR;;;138183;128814;EUR;;;128814;;;;;;1;;;1;2;2007-01-01;2007-01-01;2008-01-01;2008-01-01;;100;100;50;100;;100;;;0;100;0;100;83.3333;;;;;;;100;;;100;;;100;100;;100;0;100;100;100;1;PUBLIC_BODY;WATER,GENERAL_PUBLIC_SERVICES,OTHER;EU_body_ad63aecdfe86e2b196654130c7b694bb713788ff4cec5e4f9584b815224b4258;Water Services Corporation;MT001;Luqa;MT;LQA 9043;1;;;AWARDED;;;;;;;;;;3;;;;;;;;1;yes;no;;128814;EUR;;;128814;1;EU_body_d2278c3b2cc517fee6086f348fbfc2829d8a13a3fe2c6e8638b97dee0bd86d60;ORTIS LIMITED;MT001;Ta' Qali;MT;ATD 4000
2;44fcc893-e37d-4dc4-8b3b-ba382f91fc2c;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;24452100;24452100;;;EN,MT;;;;2008/04/02;2007/11/20;;;;;36;1080;no;no;no;;;;no;no;yes;;170241.79;EUR;;;170241.79;152019.57;EUR;;;152019.57;;;;;;;;;1;2;2007-01-01;2007-01-01;2008-01-01;2008-01-01;;0;100;50;100;;100;;;0;100;0;100;81.8182;;;;;;;100;;;100;;;0;100;0;100;0;100;100;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,WATER,HEALTH;EU_body_0cc3820f9e18492aadaf56cc94f8940102e027516b5b626d549b0ae1b39803b1;Department of Contracts;MT001;Floriana;MT;FRN 1600;1;;;AWARDED;;;;;;;;;;1;;;;;;;;1;yes;no;;152019.57;EUR;;;152019.57;1;EU_body_510ee136e1e5b4e06a362de93bc7b611ea7de76bd36cd6f10fc6c977a22299fb;V J Salomone Pharma Ltd;;Marsa;MT;MRS 1606
3;25e50e86-c8ad-438a-8e37-21e7066dd06c;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;24470000;24470000;;;EN,MT;;;;;2006/06/15;;;;;36;1080;no;no;no;;;;no;no;yes;;141341.72;EUR;;;141341.72;;;;;;;;;;;;;;1;1;2006-01-01;2006-01-01;;;;;100;100;100;;;;;0;100;0;100;;;;;;;;;;;0;;;;100;;100;0;;0;;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,WATER,HEALTH;EU_body_0cc3820f9e18492aadaf56cc94f8940102e027516b5b626d549b0ae1b39803b1;Department of Contracts;MT001;Floriana;MT;FRN 1600;1;;;ANNOUNCED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;92a674fa-278d-47d8-b863-db127f2c9d19;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;24422100;24422100;;;EN,MT;;;;2007/11/05;2007/01/23;;;;;36;1080;no;no;no;;;;no;no;yes;;271494.95;EUR;;;271494.95;246870.44;EUR;;;246870.44;;;;;;1;;;1;2;2006-01-01;2006-01-01;2008-01-01;2008-01-01;;0;100;50;100;;100;;;0;100;0;100;75;;;;;;;100;;;100;;;0;100;;100;0;100;100;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,WATER,HEALTH;EU_body_0cc3820f9e18492aadaf56cc94f8940102e027516b5b626d549b0ae1b39803b1;Department of Contracts;MT001;Floriana;MT;FRN 1600;1;;;AWARDED;;;;;;;;;;1;;;;;;;;1;yes;no;;246870.44;EUR;;;246870.44;1;EU_body_923a52ee10b0c0358fdbaf56ae738db70238c72ccd3ebc3f171a30b06fdfa847;Vivian Corporation Ltd;MT001;Msida;MT;MSD 1824
5;8b709a5b-a000-4e7a-8353-da8f0129c1f3;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;24451100;24451100;;;EN,MT;;;;2007/08/09;2007/05/08;;;;;36;1080;no;no;no;;;;no;no;yes;;224628.46;EUR;;;224628.46;167104.59;EUR;;;167104.59;;;;;;1;;;1;2;2007-01-01;2007-01-01;2007-01-01;2007-01-01;;100;100;100;100;;100;;;0;100;0;100;75;;;;;;;100;;;100;;;0;100;;100;0;100;100;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,WATER,HEALTH;EU_body_0cc3820f9e18492aadaf56cc94f8940102e027516b5b626d549b0ae1b39803b1;Department of Contracts;MT001;Floriana;MT;FRN 1600;1;;;AWARDED;;;;;;;;;;2;;;;;;;;1;yes;no;;167104.59;EUR;;;167104.59;1;EU_body_eb607ba04a5799ddc4dc018203167e68c41467ccb457db6217fe35fec79d4a9a;A M Mangion Ltd;;LUQA;MT;LQA 6000
6;9fd78ec1-f227-4f81-a14e-29f97d0cea02;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;24473000;24473000;;;EN,MT;;;;2006/12/19;2006/07/25;;;;;36;1080;no;no;no;;;;no;no;yes;;228222.69;EUR;;;228222.69;155154.9;EUR;;;155154.9;;;;;;1;;;1;2;2006-01-01;2006-01-01;2007-01-01;2007-01-01;;100;100;100;100;;100;;;0;100;0;100;64.2857;;;;;;;100;;;100;;;0;100;;100;0;100;100;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,WATER,HEALTH;EU_body_0cc3820f9e18492aadaf56cc94f8940102e027516b5b626d549b0ae1b39803b1;Department of Contracts;MT001;Floriana;MT;FRN 1600;1;;;AWARDED;;;;;;;;;;3;;;;;;;;1;yes;no;;155154.9;EUR;;;155154.9;1;EU_body_29c643dfede2c7ea45d6bd8781a781beba9496aa0bba03a5d0ec8f340eb53d7d;Cherubino Ltd;;Gzira;MT;GZR 1637
7;c9232aaa-8ea3-4830-acbc-b44c9be3a917;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;24461300;24461300;;;EN,MT;;;;2008/04/02;2007/10/16;;;;;36;1080;no;no;no;;;;no;no;yes;;245618.45;EUR;;;245618.45;216794.78;EUR;;;216794.78;;;;;;;;;1;2;2007-01-01;2007-01-01;2008-01-01;2008-01-01;;0;100;50;100;;100;;;0;100;0;100;81.8182;;;;;;;100;;;100;;;0;100;0;100;0;100;100;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,WATER,HEALTH;EU_body_0cc3820f9e18492aadaf56cc94f8940102e027516b5b626d549b0ae1b39803b1;Department of Contracts;MT001;Floriana;MT;FRN 1600;1;;;AWARDED;;;;;;;;;;1;;;;;;;;1;yes;no;;216794.78;EUR;;;216794.78;1;EU_body_510ee136e1e5b4e06a362de93bc7b611ea7de76bd36cd6f10fc6c977a22299fb;V J Salomone Pharma Ltd;;Marsa;MT;MRS 1606
8;c4b61490-5b72-4c28-8027-2f2c40b3a358;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;33264000;33264000;;;;;;;2006/07/07;;;;;;;;no;no;no;;;;no;no;yes;;2892243.2;EUR;;;2892243.2;2675199.11;EUR;;;2675199.11;;;;;;1;;;1;1;;;2006-01-01;2006-01-01;;100;0;100;100;100;100;;;0;100;0;;;;;;;;;100;;;100;;;0;;;;;100;;100;1;PUBLIC_BODY;ELECTRICITY;EU_body_e0cf0a2daca55d86245c837c291a681ae1f0220525f44376fcfebd00718bfcbf;Enemalta Corporation;;Marsa;MT;MRS 1000;1;;;AWARDED;;;;;;;;;;6;;;;;;;;1;yes;no;;2675199.11;EUR;;;2675199.11;1;EU_body_c6e7f259819632b7479b5ac7d80668ede71e24bb09a0f3f771e66fc4c1eba324;Mekanika Limited;;Mriehel;MT;BKR 14
9;4648e618-307c-4813-b711-92fc074fbd97;MT;;ABOVE_THE_THRESHOLD;SERVICES;OPEN;;74140000;74140000;;;;;;;2006/08/18;;;;;;;;yes;no;no;;;;no;no;yes;;399000;EUR;;;399000;395500;EUR;;;395500;;;;;;;;;1;1;;;2006-01-01;2006-01-01;;100;0;100;100;100;100;;;0;100;0;;;;;;;;;100;;;100;;;0;;;;;100;;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,WATER,HEALTH;EU_body_0cc3820f9e18492aadaf56cc94f8940102e027516b5b626d549b0ae1b39803b1;Department of Contracts;MT001;Floriana;MT;FRN 1600;1;;;AWARDED;;;;;;;;;;4;;;;;;;;1;yes;no;;206500;EUR;;;206500;1;EU_body_da455bf7eb26e5c33449d8a1b82b058178a457622eb1da3f48b4972b24e66ea1;Exemplas Ltd;UKH23;St Albans;UK;AL1 3AW
10;b17fb857-38ca-4c53-bbc1-33725a72ccfd;MT;;ABOVE_THE_THRESHOLD;SUPPLIES;OPEN;;33123220;33123220;;;;;;;2006/07/26;;;;;;;;no;no;no;;;;no;no;yes;;941392.97;EUR;;;941392.97;835803.56;EUR;;;835803.56;;;;;;1;;;1;1;;;2006-01-01;2006-01-01;;100;0;100;100;100;100;;;0;100;0;;;;;;;;;100;;;100;;;0;;;;;100;;100;1;NATIONAL_AUTHORITY;GENERAL_PUBLIC_SERVICES,WATER,HEALTH;EU_body_0cc3820f9e18492aadaf56cc94f8940102e027516b5b626d549b0ae1b39803b1;Department of Contracts;MT001;Floriana;MT;FRN 1600;1;;;AWARDED;;;;;;;;;;3;;;;;;;;1;yes;no;;119644.26;EUR;;;119644.26;1;EU_body_c4fee556d1ebeb2da4bd7c2be79c9978eaf6895c5938281d5a1725a8466288be;Sidroc Services , Godrico Ltd.;;Gzira;MT;
