$id,$type,id,vendorIdentifier,vendorName,contractId,contractName,projectEngineerManagerName,districtCode,districtDescription,countyCode,countyDescription,active,primeProjectId,federalAidProjectId,description,contractType,contractTypeDescription,minContractTypeDescription,projectTypeDescription,projectWorkTypeDescription,projectMixDescription,plannedProgramDescription,daysUsed,originalContractDays,holidays,totalTimeAdded,totalWeatherDays,tropicalWeatherAmount,weatherTypeOne,weatherTypeTwo,fundingType,categoryCode,categoryDescription,conventional,gisLink,mapUrl,workBeginDate,lettingLocation,hasEstimate,contractStatus,adjustedContractDays,currentContractDays,originalContractAmount,currentContractAmount,changeOrderAmount,estimatePaidToDate,percentChangeInDollar,percentChangeInTime,numberOfDaysFromFinalAcceptance,lettingDate,awardDate,executedDate,timeBeganDate,finalAcceptedDate,startDate,estimatedCompletion,residentEngineerName,residentOffice,projectAdministratorName,pendingAmount
11030935,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999205,F471966508,AMERICAN PIPELINE CONSTRUCTION,,E1P48,"Usher, Eunice- Retired",01,FIRST,12,LEE,False,43489815201,N/A,Drainage Improvements12040000,CC,CC-Const Contract,Construction Contracts,C,Z-Other,DRAINAGE IMPROVEMENTS,,261.0,150.0,20,111,29,0.0,0.0,29.0,State,C,$500K - $1M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2020-07-27T00:00:00Z,DIST,True,FINAL PAYMENT MADE,111,261,881862.37,950893.31,69030.94,870010.98,0.08,0.0,497,2020-01-16T00:00:00Z,2020-02-19T00:00:00Z,2020-03-10T00:00:00Z,2020-07-27T00:00:00Z,2021-04-13T00:00:00Z,2020-07-27T00:00:00Z,2020-12-24T00:00:00Z,,,,0.0
11030936,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999206,F811490207,"RTECH ENGINEERING, LLC",,E6M99,"Lledo, Francisco",06,SIXTH,87,MIAMI-DADE,True,44694715201,D622003B,ITS FREEWAY MANAGEMENT. Wrong Way Driving (WWD).87004000,CDBL,CDBL-Const Design Build - Low Bid,Design Build Contracts,C,X8-Miscellaneous Construction,ITS FREEWAY MANAGEMENT,,69.0,500.0,1,1,0,0.0,0.0,0.0,Federal,E,$2M - $5M,False,True,https://data.fdot.gov/road/projects/#/ContractId=,,DIST,True,NTP ISSUED,1,501,2597679.2,2597679.2,0.0,63436.98,0.0,0.0,0,2022-04-11T00:00:00Z,2022-05-04T00:00:00Z,2022-05-13T00:00:00Z,2022-06-13T00:00:00Z,,2022-06-13T00:00:00Z,2023-11-29T00:00:00Z,,,,0.0
11030937,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999207,F592502221,"HORSEPOWER ELECTRIC, INC.",,E6M98,"Lledo, Francisco",06,SIXTH,87,MIAMI-DADE,True,43029159201,N/A,ITS EQUIPMENT REPLACEMENT - CONSULTANTS /GRANTSMidpoint,CDBL,CDBL-Const Design Build - Low Bid,Design Build Contracts,C,X7-Traffic Operations,ITS COMMUNICATION SYSTEM,,405.0,720.0,25,28,3,0.0,0.0,3.0,State,F,$5M - $10M,False,False,https://data.fdot.gov/road/projects/#/ContractId=,2022-05-09T00:00:00Z,DIST,True,WORK BEGUN,28,748,6969696.96,6969696.96,0.0,3327467.53,0.0,0.0,0,2021-05-24T00:00:00Z,2021-06-07T00:00:00Z,2021-06-14T00:00:00Z,2021-07-13T00:00:00Z,,2022-05-09T00:00:00Z,2024-06-03T00:00:00Z,,,,0.0
11030938,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999208,F852759017,GENERAL ASPHALT - JONES BENITEZ,,E6M92,"Fundora, Jonathan",06,SIXTH,87,MIAMI-DADE,True,44444425201,TAMI002A,SR-90/US HWY-41/TAMIAMI TRAIL87110000,CDBL,CDBL-Const Design Build - Low Bid,Design Build Contracts,C,X2-Reconstruction,FLEXIBLE PAVEMENT RECONSTRUCT.,,644.0,1320.0,36,77,41,0.0,0.0,41.0,Federal,H,Over $15M,False,True,https://data.fdot.gov/road/projects/#/ContractId=,2021-04-26T00:00:00Z,DIST,True,WORK BEGUN,77,1397,53225456.95,53225456.95,0.0,16313350.02,0.0,0.0,0,2020-07-09T00:00:00Z,2020-08-04T00:00:00Z,2020-09-14T00:00:00Z,2020-10-12T00:00:00Z,,2021-04-26T00:00:00Z,2025-01-10T00:00:00Z,,,,0.0
11030939,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999209,F650806153,"AGC ELECTRIC, INC.",,E6M89,"Johnson, Colin",06,SIXTH,87,MIAMI-DADE,True,44660525201,N/A,PUSHBUTTON-TRAFFIC SIG.Midpoint,CPB,CPB-Const Push Button,Push Button Contracts,C,X7-Traffic Operations,TRAFFIC SIGNALS,,1.0,730.0,0,0,0,0.0,0.0,0.0,State,B,$250K - $500K,True,False,https://data.fdot.gov/road/projects/#/ContractId=,2021-11-08T00:00:00Z,DIST,True,WORK BEGUN,0,730,308542.37,308542.37,0.0,140742.76,0.0,0.0,0,2020-03-26T00:00:00Z,2020-04-13T00:00:00Z,2020-04-23T00:00:00Z,2020-09-18T00:00:00Z,,2021-11-08T00:00:00Z,2023-11-09T00:00:00Z,,,,0.0
11030940,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999210,F650012669,"CONDOTTE AMERICA, LLC",,E6M86,"Garzia, John Michael",06,SIXTH,87,MIAMI-DADE,True,43351125201,N/A,NE 203 ST BTW SR 5/US-1 &  W DIXIE HWY - RAIL CAPACITY PRJ87000169,CC,CC-Const Contract,Construction Contracts,C,X5-Bridge Construction,RAIL CAPACITY PROJECT,,243.0,1020.0,13,26,13,0.0,0.0,13.0,State,H,Over $15M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2021-11-17T00:00:00Z,DIST,True,WORK BEGUN,26,1046,41366428.28,41272027.4,-94400.88,14795074.9,0.0,0.0,0,2021-05-27T00:00:00Z,2021-07-06T00:00:00Z,2021-07-22T00:00:00Z,2021-11-17T00:00:00Z,,2021-11-17T00:00:00Z,2024-10-07T00:00:00Z,,,,0.0
11030941,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999211,F593057681,"PRECISION CONTRACTING SERVICES, INC.",,E6M58,"Lledo, Francisco",06,SIXTH,90,MONROE,True,44492015201,D620071B,SR 5/US 1 FL KEYS CONNECTED VEHICLES PILOT PROJ.90010000,CDB,CDB-Const Design Build,Design Build Contracts,C,X7-Traffic Operations,TRAFFIC SIGNALS,,405.0,680.0,25,25,0,0.0,0.0,0.0,Federal,F,$5M - $10M,False,True,https://data.fdot.gov/road/projects/#/ContractId=,,DIST,True,NTP ISSUED,25,705,5167117.17,5167117.17,0.0,2087317.45,0.0,0.0,0,2021-05-11T00:00:00Z,2021-06-01T00:00:00Z,2021-06-14T00:00:00Z,2021-07-13T00:00:00Z,,2021-07-13T00:00:00Z,2023-06-28T00:00:00Z,,,,0.0
11030942,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999212,F651005943,"LAMBERT BROS., INC.",,E6M50,"Bolton, John",06,SIXTH,87,MIAMI-DADE,True,44196715201,N/A,BRIDGE REPAIR-REHAB87004000,CC,CC-Const Contract,Construction Contracts,C,X6-Bridge Repair,BRIDGE-REPAIR/REHABILITATION,,368.0,240.0,22,110,64,0.0,0.0,64.0,State,C,$500K - $1M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2021-07-15T00:00:00Z,DIST,True,WORK BEGUN,110,350,873331.0,1042774.01,169443.01,877260.46,0.19,0.0,0,2020-11-19T00:00:00Z,2020-12-14T00:00:00Z,2021-01-04T00:00:00Z,2021-07-15T00:00:00Z,,2021-07-15T00:00:00Z,2022-03-31T00:00:00Z,,,,0.0
11030943,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999213,F830345690,FLORIDA ENGINEERING & DEVELOPMENT CORP,,E6N00,"Garzia, John Michael",06,SIXTH,87,MIAMI-DADE,True,44394015201,N/A,NW 27 AVE. FROM N OF NW 116 ST TO S OF NW 122 ST87240000,CC,CC-Const Contract,Construction Contracts,C,X3-Resurfacing,RESURFACING,,38.0,120.0,0,7,7,0.0,0.0,7.0,State,C,$500K - $1M,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2022-06-10T00:00:00Z,DIST,True,WORK BEGUN,7,127,510362.46,510362.46,0.0,119877.64,0.0,0.0,0,2022-02-24T00:00:00Z,2022-03-23T00:00:00Z,2022-04-13T00:00:00Z,2022-06-10T00:00:00Z,,2022-06-10T00:00:00Z,2022-11-12T00:00:00Z,,,,0.0
11030944,"SCO.Construction.Models.Domain.Contract, SCO.Construction",999214,F650445173,UNDER POWER CORP,,E6M02,"Garzia, John Michael",06,SIXTH,87,MIAMI-DADE,True,43952215201,N/A,SR 916/NW 135 ST BET CAIRO LANE AND SESAME ST87008000,CC,CC-Const Contract,Construction Contracts,C,X8-Miscellaneous Construction,PEDESTRIAN SAFETY IMPROVEMENT,,25.0,120.0,0,2,2,0.0,0.0,2.0,State,B,$250K - $500K,True,True,https://data.fdot.gov/road/projects/#/ContractId=,2022-06-23T00:00:00Z,DIST,True,WORK BEGUN,2,122,284703.69,284703.69,0.0,128195.48,0.0,0.0,0,2021-05-27T00:00:00Z,2021-07-06T00:00:00Z,2021-07-13T00:00:00Z,2022-06-23T00:00:00Z,,2022-06-23T00:00:00Z,2022-11-15T00:00:00Z,,,,0.0
