Tender,Company,Procurement,Notice,Location,Closing,Value,Date
RFQ Production of Grant Recipient Case Studies and Short Videos for the LEADER Programme,CORNWALL DEVELOPMENT COMPANY LTD,  Opportunity,  Open,  South West,"   8 September 2022,  5pm","  £10,000","  15 August 2022, last edited 22 August 2022"
PR2099-Growth Curve Peer Networks,South East Midlands Local Enterprise Partnership,  Opportunity,  Open,"  East Midlands, East of England","  23 September 2022,  5pm","  £50,000",  22 August 2022
Online Legal Research,General Medical Council (GMC),  Opportunity,  Open,"  North West, London","  16 September 2022, 12pm","  £0 to £75,000",  22 August 2022
The Provision of Parachute Rigging Services to the Joint Service Parachute Centre Weston on The Green (JSPC(W)),Ministry of Defence,  Opportunity,  Open,  OX25 3TQ,"  21 September 2022,  8am","  £150,000",  22 August 2022
"Supply of Coffee, Hot Drinks Machines and Products for BCP Council",Bournemouth Christchurch and Poole Council,  Opportunity,  Open,  South West,"  10 October 2022,  2pm","  £550,000",  22 August 2022
Rear Bedroom Extension,ESSEX COUNTY COUNCIL,  Opportunity,  Open,  CO15 1SE,"   9 September 2022, 12pm","  £10,000 to £30,000","  22 August 2022, last edited 22 August 2022"
Smoking Cessation,The Royal Borough of Kingston upon Thames,  Opportunity,  Open,  England,"  29 September 2022, 12pm","  £750,000",  22 August 2022
GB-Taunton: Maritime Advisor Recruitment,UK Hydrographic Office,  Opportunity,  Open,  South West,"   8 September 2022, 11am","  £10,000 to £25,000",  22 August 2022
Bridgewell Supported Living Residential accommodation Project,Bracknell Forest Borough Council,  Opportunity,  Open,  RG127HA,"  26 September 2022,  2pm","  £5,500,000",  22 August 2022
Remodel of classrooms - Practice based learning labs,University of Huddersfield e-Tendering,  Opportunity,  Open,  HD1 3DH,"   9 September 2022,  4:43pm",  £0,  22 August 2022
EastendHomes Business Application Support,EastendHomes Limited,  Opportunity,  Open,  London,"  22 September 2022,  5pm","  £850,000",  22 August 2022
Provision of Cleaning Services for Social Work England's Head Office,SOCIAL WORK ENGLAND,  Opportunity,  Open,  S3 8JY,"  23 August 2022,  5pm",  £0,"  12 July 2022, last edited 22 August 2022"
