,Tender name,Industry,Location of contract,Value of contract,Procurment references,Published date,closing date,closing time
0,CA11089 - PAINTING AND DECORATING TENDER FOR NEW COLLEGE SWINDON,Painting work - 45442100,SN3 1AH,"£60,000",56903aa5-8319-4290-ab3d-6dbb717238b7,13 September 2022,20 October 2022,10am
1,TD045-21 EDC Clock Tower Improvements,Construction work - 45000000,Yorkshire and the Humber,"£500,000 to £500,001",20220831110312-103294,31 August 2022,7 October 2022,1pm
2,Fish Species Symposium,Research services - 73110000,England,"£1,000 to £24,999",FSS010,13 September 2022,28 September 2022,5pm
3,Cambridge City Council - Replacement Fleet Management System,"Document creation, drawing, imaging, scheduling and productivity software package - 48300000",England,"£45,000",CAMBDC001-DN632913-68985626,13 September 2022,24 October 2022,12pm
4,ESPH AB HBC Cliff Maintenance (ESPH557TI),Cliff-protection works - 45243100,TN34 3UY,"£150,000",IT-234-34985-HBC - 034985,17 August 2022,30 September 2022,1pm
5,CA11073 - Sheringdale Primary School Catering Tender September 2022,Catering services - 55520000,RG17 7JL,"£377,767",668bf18a-f16e-4ebe-a759-8a57daeb8835,13 September 2022,20 October 2022,2pm
6,GB-London: Sammy Ofer Wing Ramps - Paving,Landscaping work for sports grounds and recreational areas - 45112720,London,"£100,000 to £500,000",BIP720799469,13 September 2022,14 October 2022,12pm
7,The Western Expansion Area Fairfields Local Park 4 Play Area Construction Works Contract,Playground equipment - 37535200,MK9 3EJ,£0,IT-480-290-2022-096,18 August 2022,16 September 2022,12pm
8,Type Archive Decant: Object Transport Services,Transport services (excl. Waste transport) - 60000000,SW7 2DD,"£0 to £200,000",IT-492-1203-SCM2760M,13 September 2022,21 October 2022,5pm
9,22 055 - Translation & Interpretation Services,Translation services - 79530000,England,"£950,000",CHEAST001-DN630261-41977286,13 September 2022,14 October 2022,2pm
10,DNA Service Provider,Research and development services and related consultancy services - 73000000,South East,"£2,445,000",00000012013,13 September 2022,14 October 2022,11:59pm
11,DNA Service Provider,Research and development services and related consultancy services - 73000000,South East,"£2,445,000",00000012013,13 September 2022,14 October 2022,11:59pm
12,Oxford Direct Services - Window Cleaning,"Accommodation, building and window cleaning services - 90911000",England,"£90,000",OXF001-DN632805-45340639,13 September 2022,30 September 2022,12pm
13,GB-Long Stratton: Diss Leisure Centre Long Stratton Leisure Centre Wymondham Leisure Centres,Fire doors - 44221220,East of England,"£50,000 to £100,000",BIP720871769,13 September 2022,27 September 2022,12pm
14,Kirklees Cultural Heart Venue Operator Procurement,Facilities management services - 79993100,Yorkshire and the Humber,"£62,500,000 to £62,500,001",KMCFM-020,15 August 2022,31 October 2022,12pm
15,Provision of FM Services,Facilities management services - 79993100,North West,"£3,500,000",BIP714558890,18 August 2022,22 September 2022,4pm
16,Great Yarmouth Refurbishment Projects - 4 Properties,Construction work - 45000000,England,"£400,000",PROGRESS001-DN632882-65504361,13 September 2022,11 October 2022,1pm
17,"Supply of Electricity - Half Hourly, Non Half Hourly and Unmetered supplies",Public utilities - 65000000,Fy1 3ah,£0,BLACK001-DN628787-94047980,24 August 2022,14 October 2022,12pm
18,EBC DP Ditton & Littleworth Track Surfacing Project,Track construction works - 45234116,KT10 9SD,£0,IT-234-35175-EBC - 035175,13 September 2022,18 October 2022,12pm
19,NHMF Frameworx Consultancy Framework Agreements 2022 - Energy Consultancy Services,Technical inspection services - 71631000,"England, Scotland, Wales, Northern Ireland","£3,000,000 to £32,000,000",NPC1501,6 September 2022,3 October 2022,3pm
20,NHMF Frameworx Consultancy Framework Agreements 2022 - Compliance Consultancy Services Tranche 2,Technical inspection services - 71631000,"England, Scotland, Wales, Northern Ireland","£3,000,000 to £20,000,000",NPC1513,6 September 2022,6 October 2022,3pm
21,CPU 5803 - Bus Stop Maintenance & Inspection,Repair and maintenance services of building installations - 50700000,England,"£225,000",NOTTCITY001-DN632879-55721892,13 September 2022,11 October 2022,12pm
22,NHMF Frameworx Consultancy Framework Agreements 2022 - Compliance Consultancy Services Tranche 1,Technical inspection services - 71631000,"England, Scotland, Wales, Northern Ireland","£3,000,000 to £20,000,000",NPC1507,6 September 2022,4 October 2022,3pm
23,"Multi use Games/Sports Area at the Recreation Field, Wrington",Construction work - 45000000,BS40 5QN,"£50,000 to £99,000",WPC/MUGA/22,13 September 2022,10 October 2022,10am
24,NHMF Frameworx Consultancy Framework Agreements 2022 - Asset Management Consultancy Services,Technical inspection services - 71631000,"England, Scotland, Wales, Northern Ireland","£3,000,000 to £20,000,000",NPC1528,13 September 2022,13 October 2022,3pm
25,Bedding Plants 2022-2025,Bedding plants - 03451100,England,"£153,000",CHWEST001-DN632828-50286260,13 September 2022,5 October 2022,10am
26,Provision of Content and a new STEM based digital platform,Computer platforms - 30211300,B91 1SB,"£100,000 to £1,000,000",IT-399-2536-GBSIoT_0822,16 August 2022,20 September 2022,12pm
27,Oxford Direct Services - Category A waste Disposal,Waste disposal site construction work - 45222110,England,"£140,000",OXF001-DN630579-74488481,31 August 2022,23 September 2022,12pm
28,Hanlith & Malham Bridge Repairs,Construction work - 45000000,Yorkshire and the Humber,"£30,000 to £35,000",20220830133720-104117,30 August 2022,27 September 2022,12pm
29,Whitby Park ice cream concession,"Food, beverages, tobacco and related products - 15000000",England,£0,CHWEST001-DN632814-37024399,13 September 2022,5 October 2022,10am
30,Market Engagement for Leaseholders Property Insurance,Insurance services - 66510000,North East,DN632858,13 September 2022,27 September 2022,No,No
31,Calender Equipment for UKBIC Technology Line,Machines and apparatus with individual functions - 31640000,England,UBIC001-DN630744-03124411,13 September 2022,7 November 2022,No,No
32,Provision of a Digital Health & Safety Management System,Database-management system - 48612000,DY11 7PT,"£12,000",H&S001,13 September 2022,17 October 2022,1pm
33,Mechanical and Electrical Planned and Reactive Maintenance,Repair and maintenance services of electrical and mechanical building installations - 50710000,TS25 5TH,S&P1542022,13 September 2022,30 September 2022,Yes,Yes
34,Coating/Dryer Equipment for UKBIC Technology Line,Electrical equipment and apparatus - 31600000,England,UBIC001-DN630815-76879228,13 September 2022,7 November 2022,No,No
