country_code,aug_id,original_id,project_or_tender,name,description,source,status,identified_status,budget,url,document_urls,document_urls,sector,subsector,identified_sector,identified_subsector,identified_sector_subsector_tuple,keywords,entities,country_name,country_code,region_name,region_code,state,county,locality,neighbourhood,location,map_coordinates,timestamps,timestamp_range
,2,03A3451,,"Inductive Loop Repair in Butte, Colusa, El Dorado, Glenn, Nevada, Placer, Sacramento, Sutter, Yolo, and Yuba Counties","Contractor shall provide all labor, tools, materials, equipment, travel, work signs, cones and/or traffic control equipment, traffic control flaggers, and incidentals required to sawcut, repair and/or replace non-functioning loop detectors, including replacing pull boxes, pull box covers and conduit, on an email request, as-needed basis, routine, and urgent basis.

The documents and files attached to this solicitation do not have any updates for digital accessibility at this time. Updates will be applied as soon as they are available. For an accessible version of solicitation documents published on this page, please submit a request at http://bit.ly/dpac-ada or call (916) 654-2852.",caleprocure,,,,,,,Department of Transportation,Department of Transportation,,,,,,,,,,,"Butte,Colusa,El Dorado,Glenn,Nevada,Placer,Sacramento,Sutter,Yolo,Yuba",,,,,"{'epublished_date': '05/13/2022  2:00PM PDT', 'bid_submission_start_date': '05/13/2022  2:00PM PDT', 'bid_submission_end_date': '06/16/2022  2:00PM PDT'}",
,1,03A3446,,IFB Wildfire Fuel Reduction El Dorado County,"Contractor shall provide all labor, materials, supplies, tools, equipment, travel, and incidentals necessary to provide mission-critical wildfire fuels vegetation and tree removal in El Dorado County

The documents and files attached to this solicitation do not have any updates for digital accessibility at this time. Updates will be applied as soon as they are available. For an accessible version of solicitation documents published on this page, please submit a request at http://bit.ly/dpac-ada or call (916) 654-2852.

Current and valid California Motor Carrier Permit (MCP) is required.",caleprocure,,,,,,,Department of Transportation,Department of Transportation,,,,,,,,,,,El Dorado,,,,,"{'epublished_date': '05/20/2022  4:15PM PDT', 'bid_submission_start_date': '05/20/2022  4:15PM PDT', 'bid_submission_end_date': '06/16/2022  2:00PM PDT'}",
,7,04A6426,,"Pest Control Services in San Francisco, Alameda, Contra Costa, San Mateo, and Marin Counties.","Fi$Cal Advertisement Disclaimer:
The documents and files attached to this solicitation do not have any updates for digital accessibility at this time. Updates will be applied as soon as they are available. For an accessible version of solicitation documents published on this page, please submit a request to ADAdocs@dot.ca.gov or call (833) 713-2922.",caleprocure,,,,,,,Department of Transportation,Department of Transportation,,,,,,,,,,, ,,,,,"{'epublished_date': '06/02/2022  2:00PM PDT', 'bid_submission_start_date': '06/02/2022  2:00PM PDT', 'bid_submission_end_date': '06/16/2022  2:00PM PDT'}",
,5,03A3484,,IFB Wildfire Fuel Reduction in El Dorado County,"Contractor agrees to provide Wildfire Fuel Reduction (WFR) Vegetation and Tree Removal Services to the California Department of Transportation (Caltrans).

The documents and files attached to this solicitation do not have any updates for digital accessibility at this time. Updates will be applied as soon as they are available. For an accessible version of solicitation documents published on this page, please submit a request at http://bit.ly/dpac-ada or call (916) 654-2852.

Current and valid California Motor Carrier Permit (MCP) is required.",caleprocure,,,,,,,Department of Transportation,Department of Transportation,,,,,,,,,,,El Dorado,,,,,"{'epublished_date': '06/10/2022  3:57PM PDT', 'bid_submission_start_date': '06/10/2022  3:57PM PDT', 'bid_submission_end_date': '06/23/2022  2:00PM PDT'}",
,8,04A6427,,IFB Landfill Disposal Site Services in Santa Clara County,"The documents and files attached to this solicitation do not have any updates for digital accessibility at this time. Updates will be applied as soon as they are available. For an accessible version of solicitation documents published on this page, please submit a request to ADAdocs@dot.ca.gov or call (833) 713-2922.",caleprocure,,,,,,,Department of Transportation,Department of Transportation,,,,,,,,,,,Santa Clara,,,,,"{'epublished_date': '05/26/2022  3:27PM PDT', 'bid_submission_start_date': '05/26/2022  3:27PM PDT', 'bid_submission_end_date': '06/16/2022  2:00PM PDT'}",
,4,03A3469,,"IFB Fencing Maintenance, Repair and Replacement Services in Sacramento County","Contractor agrees to provide all equipment, materials, labor, tools, personal safety gear, traffic control (shoulder closures only), and travel necessary to provide maintenance to security fencing and related accessories and components necessary to maintain security fencing along State right-of-way.

The documents and files attached to this solicitation do not have any updates for digital accessibility at this time. Updates will be applied as soon as they are available. For an accessible version of solicitation documents published on this page, please submit a request to ADAdocs@dot.ca.gov or call (833) 713-2922.",caleprocure,,,,,,,Department of Transportation,Department of Transportation,,,,,,,,,,,Sacramento,,,,,"{'epublished_date': '06/02/2022  1:35PM PDT', 'bid_submission_start_date': '06/02/2022  1:35PM PDT', 'bid_submission_end_date': '06/16/2022  2:00PM PDT'}",
,6,04A6413,,"IFB 04A6413, Plant Establishment, Treatment and Removal Services, Marin County","Fi$Cal Advertisement Disclaimer:
The documents and files attached to this solicitation do not have any updates for digital accessibility at this time. Updates will be applied as soon as they are available. For an accessible version of solicitation documents published on this page, please submit a request at http://bit.ly/dpac-ada or call (916) 654-2852.

Contractor shall furnish all labor, tools, materials, parts, travel, equipment, and incidentals necessary
to provide plant maintenance services for Maintain Existing Planted Areas (MEPA), at State Route
(SR) 1, near Stinson Beach, located south of Panoramic Highway north of junction in Marin County, Post Mile (PM) 11.5.",caleprocure,,,,,,,Department of Transportation,Department of Transportation,,,,,,,,,,,Marin,,,,,"{'epublished_date': '06/07/2022  1:00PM PDT', 'bid_submission_start_date': '06/07/2022  1:00PM PDT', 'bid_submission_end_date': '06/21/2022  2:00PM PDT'}",
,11,05A2416,,"IFB  Trash and recycle pick-up, hauling, and disposal services in Santa Barbara County","The documents and files attached to this solicitation do not have any updates for digital accessibility at this time. Updates will be applied as soon as they are available. For an accessible version of solicitation documents published on this page, please submit a request to ADAdocs@dot.ca.gov or call (833) 713-2922.",caleprocure,,,,,,,Department of Transportation,Department of Transportation,,,,,,,,,,,Santa Barbara,,,,,"{'epublished_date': '06/02/2022 12:54PM PDT', 'bid_submission_start_date': '06/02/2022 12:54PM PDT', 'bid_submission_end_date': '06/16/2022  2:00PM PDT'}",
,10,04A6443,,"IFB Trash Services in San Francisco, San Mateo, and Santa Clara Counties","The documents and files attached to this solicitation do not have any updates for digital accessibility at this time. Updates will be applied as soon as they are available. For an accessible version of solicitation documents published on this page, please submit a request to ADAdocs@dot.ca.gov or call (833) 713-2922.",caleprocure,,,,,,,Department of Transportation,Department of Transportation,,,,,,,,,,,"San Francisco,San Mateo,Santa Clara",,,,,"{'epublished_date': '06/09/2022 11:23AM PDT', 'bid_submission_start_date': '06/09/2022 11:23AM PDT', 'bid_submission_end_date': '06/23/2022  2:00PM PDT'}",
,16,06A2840,,06A2840 Medical Services in Kern County,"Fi$Cal Advertisement Disclaimer:
The documents and files attached to this solicitation do not have any updates for digital accessibility at this time. Updates will be applied as soon as they are available. For an accessible version of solicitation documents published on this page, please submit a request to ADAdocs@dot.ca.gov or call (833) 713-2922.",caleprocure,,,,,,,Department of Transportation,Department of Transportation,,,,,,,,,,, ,,,,,"{'epublished_date': '06/10/2022  4:57AM PDT', 'bid_submission_start_date': '06/10/2022  4:57AM PDT', 'bid_submission_end_date': '06/23/2022  2:00PM PDT'}",
