doc_id,notice_status,cpv_code,reception_id,country_iso,town_iso,project_name,description,postal_code,email,amount,currency,og_notice_no,title,notice_publication_number,publication_date,oj_s__issue_number,town_city_of_the_buyer,official_name_of_the_buyer,original_language,country_of_the_buyer,type_of_buyer,eu_institution_agency,document_sent,type_of_contract,type_of_procedure,notice_type,regulation,type_of_bid,award_criteria,common_procurement_vocabulary_(cpv),place_of_performance_(nuts),internet_address_(url),legal_basis,deadline_date,latitude,longitude,country_alpha,country_mfn,currency_code,converted_amount_usd,document_id_1,publication_date_1,deadline_1,document_1,authority_name_1,document_id_2,publication_date_2,deadline_2,document_2,authority_name_2,document_id_3,publication_date_3,deadline_3,document_3,authority_name_3,document_id_4,publication_date_4,deadline_4,document_4,authority_name_4,document_id_5,publication_date_5,deadline_5,document_5,authority_name_5,document_id_6,publication_date_6,deadline_6,document_6,authority_name_6,document_id_7,publication_date_7,deadline_7,document_7,authority_name_7,document_id_8,publication_date_8,deadline_8,document_8,authority_name_8,document_id_9,publication_date_9,deadline_9,document_9,authority_name_9,document_id_10,publication_date_10,deadline_10,document_10,authority_name_10,document_id_11,publication_date_11,deadline_11,document_11,authority_name_11,document_id_12,publication_date_12,deadline_12,document_12,authority_name_12,document_id_13,publication_date_13,deadline_13,document_13,authority_name_13,document_id_14,publication_date_14,deadline_14,document_14,authority_name_14,document_id_15,publication_date_15,deadline_15,document_15,authority_name_15,document_id_16,publication_date_16,deadline_16,document_16,authority_name_16,document_id_17,publication_date_17,deadline_17,document_17,authority_name_17,document_id_18,publication_date_18,deadline_18,document_18,authority_name_18,document_id_19,publication_date_19,deadline_19,document_19,authority_name_19,document_id_20,publication_date_20,deadline_20,document_20,authority_name_20,document_id_21,publication_date_21,deadline_21,document_21,authority_name_21,document_id_22,publication_date_22,deadline_22,document_22,authority_name_22,document_id_23,publication_date_23,deadline_23,document_23,authority_name_23,document_id_24,publication_date_24,deadline_24,document_24,authority_name_24,document_id_25,publication_date_25,deadline_25,document_25,authority_name_25,document_id_26,publication_date_26,deadline_26,document_26,authority_name_26,document_id_27,publication_date_27,deadline_27,document_27,authority_name_27,document_id_28,publication_date_28,deadline_28,document_28,authority_name_28,document_id_29,publication_date_29,deadline_29,document_29,authority_name_29,document_id_30,publication_date_30,deadline_30,document_30,authority_name_30,document_id_31,publication_date_31,deadline_31,document_31,authority_name_31,document_id_32,publication_date_32,deadline_32,document_32,authority_name_32,document_id_33,publication_date_33,deadline_33,document_33,authority_name_33,document_id_34,publication_date_34,deadline_34,document_34,authority_name_34,document_id_35,publication_date_35,deadline_35,document_35,authority_name_35,document_id_36,publication_date_36,deadline_36,document_36,authority_name_36,document_id_37,publication_date_37,deadline_37,document_37,authority_name_37,document_id_38,publication_date_38,deadline_38,document_38,authority_name_38,document_id_39,publication_date_39,deadline_39,document_39,authority_name_39,document_id_40,publication_date_40,deadline_40,document_40,authority_name_40,document_id_41,publication_date_41,deadline_41,document_41,authority_name_41,document_id_42,publication_date_42,deadline_42,document_42,authority_name_42,document_id_43,publication_date_43,deadline_43,document_43,authority_name_43,document_id_44,publication_date_44,deadline_44,document_44,authority_name_44,document_id_45,publication_date_45,deadline_45,document_45,authority_name_45,document_id_46,publication_date_46,deadline_46,document_46,authority_name_46,document_id_47,publication_date_47,deadline_47,document_47,authority_name_47,document_id_48,publication_date_48,deadline_48,document_48,authority_name_48,document_id_49,publication_date_49,deadline_49,document_49,authority_name_49,document_id_50,publication_date_50,deadline_50,document_50,authority_name_50,document_id_51,publication_date_51,deadline_51,document_51,authority_name_51,document_id_52,publication_date_52,deadline_52,document_52,authority_name_52,document_id_53,publication_date_53,deadline_53,document_53,authority_name_53,document_id_54,publication_date_54,deadline_54,document_54,authority_name_54,document_id_55,publication_date_55,deadline_55,document_55,authority_name_55,document_id_56,publication_date_56,deadline_56,document_56,authority_name_56,document_id_57,publication_date_57,deadline_57,document_57,authority_name_57,document_id_58,publication_date_58,deadline_58,document_58,authority_name_58,document_id_59,publication_date_59,deadline_59,document_59,authority_name_59,document_id_60,publication_date_60,deadline_60,document_60,authority_name_60,document_id_61,publication_date_61,deadline_61,document_61,authority_name_61,document_id_62,publication_date_62,deadline_62,document_62,authority_name_62,document_id_63,publication_date_63,deadline_63,document_63,authority_name_63,document_id_64,publication_date_64,deadline_64,document_64,authority_name_64,document_id_65,publication_date_65,deadline_65,document_65,authority_name_65,document_id_66,publication_date_66,deadline_66,document_66,authority_name_66,document_id_67,publication_date_67,deadline_67,document_67,authority_name_67,document_id_68,publication_date_68,deadline_68,document_68,authority_name_68,document_id_69,publication_date_69,deadline_69,document_69,authority_name_69,document_id_70,publication_date_70,deadline_70,document_70,authority_name_70,document_id_71,publication_date_71,deadline_71,document_71,authority_name_71,document_id_72,publication_date_72,deadline_72,document_72,authority_name_72,document_id_73,publication_date_73,deadline_73,document_73,authority_name_73,document_id_74,publication_date_74,deadline_74,document_74,authority_name_74,document_id_75,publication_date_75,deadline_75,document_75,authority_name_75,document_id_76,publication_date_76,deadline_76,document_76,authority_name_76,document_id_77,publication_date_77,deadline_77,document_77,authority_name_77,document_id_78,publication_date_78,deadline_78,document_78,authority_name_78,document_id_79,publication_date_79,deadline_79,document_79,authority_name_79,document_id_80,publication_date_80,deadline_80,document_80,authority_name_80,document_id_81,publication_date_81,deadline_81,document_81,authority_name_81,document_id_82,publication_date_82,deadline_82,document_82,authority_name_82,document_id_83,publication_date_83,deadline_83,document_83,authority_name_83,document_id_84,publication_date_84,deadline_84,document_84,authority_name_84,document_id_85,publication_date_85,deadline_85,document_85,authority_name_85,document_id_86,publication_date_86,deadline_86,document_86,authority_name_86,document_id_87,publication_date_87,deadline_87,document_87,authority_name_87,document_id_88,publication_date_88,deadline_88,document_88,authority_name_88,document_id_89,publication_date_89,deadline_89,document_89,authority_name_89,document_id_90,publication_date_90,deadline_90,document_90,authority_name_90,document_id_91,publication_date_91,deadline_91,document_91,authority_name_91,document_id_92,publication_date_92,deadline_92,document_92,authority_name_92,document_id_93,publication_date_93,deadline_93,document_93,authority_name_93,document_id_94,publication_date_94,deadline_94,document_94,authority_name_94,document_id_95,publication_date_95,deadline_95,document_95,authority_name_95,document_id_96,publication_date_96,deadline_96,document_96,authority_name_96,document_id_97,publication_date_97,deadline_97,document_97,authority_name_97,document_id_98,publication_date_98,deadline_98,document_98,authority_name_98,document_id_99,publication_date_99,deadline_99,document_99,authority_name_99,document_id_100,publication_date_100,deadline_100,document_100,authority_name_100
528973-2021,Active,,,United Kingdom,Reading,Sewage-treatment plant construction work,nan,nan,nan,nan,nan,nan,United Kingdom-Reading: Sewage-treatment plant construction work,528973-2021,18/10/2021,202,READING,Thames Water Utilities Limited,EN,UK,Utilities entity,-,13/10/2021,Works,Negotiated procedure,Contract award notice,Not specified,Not applicable,The most economic tender,"45252000 - Construction works for sewage treatment plants, purification plants and refuse incineration plants45252100 - Sewage-treatment plant construction work45259900 - Plant upgrade work39350000 - Sewerage works equipment71320000 - Engineering design services45259000 - Repair and maintenance of plant45259100 - Wastewater-plant repair and maintenance work",UKI75,www.thameswater.co.uk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,51.456659,-0.9696512, GBR, 826,,,258408-2020,03/06/2020,08/07/2020,3 - Contract notice,Thames Water Utilities Ltd,285289-2020,18/06/2020,08/07/2020,2 - Additional information,Thames Water Utilities Ltd,528973-2021,18/10/2021,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528972-2021,Active,,,United Kingdom,Durham,Postal and telecommunications services,nan,nan,nan,nan,nan,nan,United Kingdom-Durham: Postal and telecommunications services,528972-2021,18/10/2021,202,DURHAM,Durham County Council,EN,UK,Regional or local authority,-,13/10/2021,Services,Open procedure,Modification of a contract/concession during its term,European Union,Not applicable,Not applicable,"64000000 - Postal and telecommunications services32000000 - Radio, television, communication, telecommunication and related equipment",UKC1,http://www.durham.gov.uk,Public procurement Directive 2014/24/EU,nan,54.666667,-1.75, GBR, 826,,,221675-2018,24/05/2018,26/06/2018,3 - Contract notice,Durham County Council,220059-2019,13/05/2019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528971-2021,Active,,,United Kingdom,Aylesbury,Health and social work services,nan,nan,nan,nan,nan,nan,United Kingdom-Aylesbury: Health and social work services,528971-2021,18/10/2021,202,AYLESBURY,Buckinghamshire Council,EN,UK,Regional or local authority,-,13/10/2021,Services,Open procedure,Modification of a contract/concession during its term,"European Union, with participation of GPA countries",Not applicable,Not applicable,85000000 - Health and social work services,UKJ13,https://www.buckinghamshire.gov.uk,Public procurement Directive 2014/24/EU,nan,51.8161412,-0.8130383, GBR, 826,,,48027-2017,08/02/2017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528970-2021,Active,,,United Kingdom,Portsmouth,Business and management consultancy services,"NHS South of England Procurement Services are looking to award a Framework Agreement for Booking, Referral and Appointment Management Services. NHS South of England Procurement Services considers that the proposed Framework Agreement will offer a streamlined, compliant and cost effective approach for other public bodies seeking to develop these services. The Framework Agreement will be available to all NHS bodies and Central Government authorities, who are able to call-off from the Framework Agreement.",po6 3ly,Holly.smith@soeprocurement.nhs.uk,40000000,GBP,2020/S 239-592250,United Kingdom-Portsmouth: Business and management consultancy services,528970-2021,18/10/2021,202,PORTSMOUTH,Portsmout Hospitals University NHS Trust,EN,UK,Body governed by public law,-,13/10/2021,Services,Open procedure,Contract award notice,Not specified,Not applicable,The most economic tender,85110000 - Hospital and related services79410000 - Business and management consultancy services,UK,http://www.porthosp.nhs.uk/,Public procurement Directive 2014/24/EU,nan,50.8036831,-1.075614, GBR, 826,,330797.2213,592250-2020,08/12/2020,11/01/2021,3 - Contract notice,Portsmout Hospitals NHS Trust,528970-2021,18/10/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528969-2021,Active,,,United Kingdom,Ipswich,Transport services (excl. Waste transport),Home to school transport,IP1 2BX,Didia.Pontes@suffolk.gov.uk,nan,nan,nan,United Kingdom-Ipswich: Transport services (excl. Waste transport),528969-2021,18/10/2021,202,IPSWICH,Suffolk County Council,EN,UK,Regional or local authority,-,13/10/2021,Services,Contract award without prior publication,Contract award notice,Not specified,Not applicable,Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345, GBR, 826,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528968-2021,Active,,,United Kingdom,Manchester,Recruitment services,"PHSO is pleased to invite you to submit a formal tender submission for the opportunity to be included on PHSO’s Recruitment Agency framework for the provision of Recruitment Services.  The framework length will be for 2 years with the option to extend for up to 2 further years (1+1). The framework will cover permanent, fixed term, temporary and contract recruitment to cover all PHSO service areas including executive positions. The framework will contain the following lots: Lot 1: Executive  Lot 2: ICT Lot 3: Finance, HR, Facilities, Procurement and Business Planning Lot 4: General Business Support . Upon receiving this ITT you are required to express an interest if you intend to submit a tender. This is to ensure you receive periodic updates and any clarification question responses. Expressions of interest should be sent to: Robert.Kelk@ombudsman.org.uk",M2 3HQ,Robert.Kelk@ombudsman.org.uk,1750000.00,EUR,2020/S 192-465187,United Kingdom-Manchester: Recruitment services,528968-2021,18/10/2021,202,MANCHESTER,Parliamentary and Health Service Ombudsman,EN,UK,National or federal Agency/Office,-,13/10/2021,Services,Open procedure,Contract award notice,Not specified,Not applicable,The most economic tender,79600000 - Recruitment services,UKD3,https://www.ombudsman.org.uk/,Public procurement Directive 2014/24/EU,nan,53.4794892,-2.2451148, GBR, 826,,14472.3784,465187-2020,02/10/2020,30/10/2020,3 - Contract notice,Parliamentary and Health Service Ombudsman,506513-2020,23/10/2020,30/10/2020,2 - Additional information,Parliamentary and Health Service Ombudsman,528968-2021,18/10/2021,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528967-2021,Active,,,United Kingdom,Leicester,Business and management consultancy and related services,ESPO (in collaboration with YPO) are seeking to establish a framework agreement with a number of service providers for the provision of consultancy services to the Public Sector. These services will be provided on a national basis across the UK. The key aim of the framework will be to create efficiencies and promote cost savings by providing customers with access to pre-approved service providers whom they may appoint using a simple and streamlined procurement process.,LE19 1ES,tender@espo.org,200000000.00,GBP,2020/S 185-447987,United Kingdom-Leicester: Business and management consultancy and related services,528967-2021,18/10/2021,202,LEICESTER,ESPO,EN,UK,Regional or local authority,-,13/10/2021,Services,Open procedure,Contract award notice,Not specified,Not applicable,The most economic tender,"79212100 - Financial auditing services79221000 - Tax consultancy services79212200 - Internal audit services79212300 - Statutory audit services79341100 - Advertising consultancy services79212400 - Fraud audit services66171000 - Financial consultancy services66170000 - Financial consultancy, financial transaction processing and clearing-house services71351914 - Archaeological services90713000 - Environmental issues consultancy services90700000 - Environmental services71317000 - Hazard protection and control consultancy services71317210 - Health and safety consultancy services71800000 - Consulting services for water-supply and waste consultancy71315210 - Building services consultancy services72227000 - Software integration consultancy services79419000 - Evaluation consultancy services70333000 - Housing services79418000 - Procurement consultancy services72246000 - Systems consultancy services72224000 - Project management consultancy services71410000 - Urban planning services71314300 - Energy-efficiency consultancy services72223000 - Information technology requirements review services71311210 - Highways consultancy services79417000 - Safety consultancy services72266000 - Software consultancy services72222000 - Information systems or technology strategic review and planning services72200000 - Software programming and consultancy services71311200 - Transport systems consultancy services66600000 - Treasury services73200000 - Research and development consultancy services72221000 - Business analysis consultancy services72000000 - IT services: consulting, software development, Internet and support72220000 - Systems and technical consultancy services71241000 - Feasibility study, advisory service, analysis79414000 - Human resources management consultancy services79416200 - Public relations consultancy services73220000 - Development consultancy services79413000 - Marketing management consultancy services85100000 - Health services79313000 - Performance review services79412000 - Financial management consultancy services85000000 - Health and social work services79411000 - General management consultancy services79400000 - Business and management consultancy and related services79212000 - Auditing services79300000 - Market and economic research; polling and statistics79411100 - Business development consultancy services",UK,www.espo.org,Public procurement Directive 2014/24/EU,nan,52.6361398,-1.1330789, GBR, 826,,1653986.1065,447987-2020,23/09/2020,27/10/2020,3 - Contract notice,ESPO,492242-2020,16/10/2020,27/10/2020,2 - Additional information,ESPO,528967-2021,18/10/2021,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528966-2021,Active,,,United Kingdom,Ipswich,Transport services (excl. Waste transport),"Home to School Transport: 2020-09-30 10:00 - QOC333 Beccles to Easton College, Norwich ",IP1 2BX,Amy.Stagg@suffolk.gov.uk,nan,nan,nan,United Kingdom-Ipswich: Transport services (excl. Waste transport),528966-2021,18/10/2021,202,IPSWICH,Suffolk County Council,EN,UK,Regional or local authority,-,13/10/2021,Services,Contract award without prior publication,Contract award notice,Not specified,Not applicable,Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345, GBR, 826,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528965-2021,Active,,,United Kingdom,Ipswich,Transport services (excl. Waste transport),"Home to School Transport: 2020-09-11 11:00 - QOC330 Assington to Southview School, Witham",IP1 2BX,Amy.Stagg@suffolk.gov.uk,nan,nan,nan,United Kingdom-Ipswich: Transport services (excl. Waste transport),528965-2021,18/10/2021,202,IPSWICH,Suffolk County Council,EN,UK,Regional or local authority,-,13/10/2021,Services,Contract award without prior publication,Contract award notice,Not specified,Not applicable,Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345, GBR, 826,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528964-2021,Active,,,United Kingdom,Ipswich,Transport services (excl. Waste transport),Home to school transport,IP1 2BX,Didia.Pontes@suffolk.gov.uk,nan,nan,nan,United Kingdom-Ipswich: Transport services (excl. Waste transport),528964-2021,18/10/2021,202,IPSWICH,Suffolk County Council,EN,UK,Regional or local authority,-,13/10/2021,Services,Contract award without prior publication,Contract award notice,Not specified,Not applicable,Lowest price,60000000 - Transport services (excl. Waste transport),UKH14,www.suffolksourcing.uk,Public procurement Directive 2014/24/EU,nan,52.0579495,1.1526345, GBR, 826,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
